_id,_labels,born,children,name,released,tagline,title,unique,_start,_end,_type,rating,roles,summary
33,:Person,1933,,Tom Skerritt,,,,76d3384b-c8b9-4b99-a591-b90f34c0bb96,,,,,,
34,:Person,1961,,Meg Ryan,,,,76d3384b-c8b9-4b99-a591-b90f34c0bb96,,,,,,
35,:Person,1944,,Tony Scott,,,,76d3384b-c8b9-4b99-a591-b90f34c0bb96,,,,,,
36,:Person,1941,,Jim Cash,,,,76d3384b-c8b9-4b99-a591-b90f34c0bb96,,,,,,
37,:Movie,,,,2000,The rest of his life begins now.,Jerry Maguire,76d3384b-c8b9-4b99-a591-b90f34c0bb96,,,,,,
38,:Person,1969,,Renee Zellweger,,,,76d3384b-c8b9-4b99-a591-b90f34c0bb96,,,,,,
39,:Person,1962,,Kelly Preston,,,,76d3384b-c8b9-4b99-a591-b90f34c0bb96,,,,,,
40,:Person,1974,,Jerry O'Connell,,,,76d3384b-c8b9-4b99-a591-b90f34c0bb96,,,,,,
41,:Person,1970,,Jay Mohr,,,,76d3384b-c8b9-4b99-a591-b90f34c0bb96,,,,,,
42,:Person,1961,,Bonnie Hunt,,,,76d3384b-c8b9-4b99-a591-b90f34c0bb96,,,,,,
43,:Person,1971,,Regina King,,,,76d3384b-c8b9-4b99-a591-b90f34c0bb96,,,,,,
44,:Person,1996,,Jonathan Lipnicki,,,,76d3384b-c8b9-4b99-a591-b90f34c0bb96,,,,,,
45,:Person,1957,,Cameron Crowe,,,,76d3384b-c8b9-4b99-a591-b90f34c0bb96,,,,,,
46,:Movie,,,,1986,"For some, it's the last real taste of innocence, and the first real taste of life. But for everyone, it's the time that memories are made of.",Stand By Me,76d3384b-c8b9-4b99-a591-b90f34c0bb96,,,,,,
47,:Person,1970,,River Phoenix,,,,76d3384b-c8b9-4b99-a591-b90f34c0bb96,,,,,,
48,:Person,1971,,Corey Feldman,,,,76d3384b-c8b9-4b99-a591-b90f34c0bb96,,,,,,
49,:Person,1972,,Wil Wheaton,,,,76d3384b-c8b9-4b99-a591-b90f34c0bb96,,,,,,
50,:Person,1966,,John Cusack,,,,76d3384b-c8b9-4b99-a591-b90f34c0bb96,,,,,,
51,:Person,1942,,Marshall Bell,,,,76d3384b-c8b9-4b99-a591-b90f34c0bb96,,,,,,
52,:Movie,,,,1997,A comedy from the heart that goes for the throat.,As Good as It Gets,76d3384b-c8b9-4b99-a591-b90f34c0bb96,,,,,,
53,:Person,1963,,Helen Hunt,,,,76d3384b-c8b9-4b99-a591-b90f34c0bb96,,,,,,
54,:Person,1963,,Greg Kinnear,,,,76d3384b-c8b9-4b99-a591-b90f34c0bb96,,,,,,
55,:Person,1940,,James L. Brooks,,,,76d3384b-c8b9-4b99-a591-b90f34c0bb96,,,,,,
56,:Movie,,,,1998,After life there is more. The end is just the beginning.,What Dreams May Come,76d3384b-c8b9-4b99-a591-b90f34c0bb96,,,,,,
57,:Person,1960,,Annabella Sciorra,,,,76d3384b-c8b9-4b99-a591-b90f34c0bb96,,,,,,
58,:Person,1929,,Max von Sydow,,,,76d3384b-c8b9-4b99-a591-b90f34c0bb96,,,,,,
59,:Person,1942,,Werner Herzog,,,,76d3384b-c8b9-4b99-a591-b90f34c0bb96,,,,,,
60,:Person,1951,,Robin Williams,,,,76d3384b-c8b9-4b99-a591-b90f34c0bb96,,,,,,
61,:Person,1956,,Vincent Ward,,,,76d3384b-c8b9-4b99-a591-b90f34c0bb96,,,,,,
62,:Movie,,,,1999,First loves last. Forever.,Snow Falling on Cedars,76d3384b-c8b9-4b99-a591-b90f34c0bb96,,,,,,
63,:Person,1970,,Ethan Hawke,,,,76d3384b-c8b9-4b99-a591-b90f34c0bb96,,,,,,
64,:Person,1971,,Rick Yune,,,,76d3384b-c8b9-4b99-a591-b90f34c0bb96,,,,,,
65,:Person,1940,,James Cromwell,,,,76d3384b-c8b9-4b99-a591-b90f34c0bb96,,,,,,
66,:Person,1953,,Scott Hicks,,,,76d3384b-c8b9-4b99-a591-b90f34c0bb96,,,,,,
67,:Movie,,,,1998,At odds in life... in love on-line.,You've Got Mail,76d3384b-c8b9-4b99-a591-b90f34c0bb96,,,,,,
68,:Person,1968,,Parker Posey,,,,76d3384b-c8b9-4b99-a591-b90f34c0bb96,,,,,,
69,:Person,1973,,Dave Chappelle,,,,76d3384b-c8b9-4b99-a591-b90f34c0bb96,,,,,,
70,:Person,1967,,Steve Zahn,,,,76d3384b-c8b9-4b99-a591-b90f34c0bb96,,,,,,
71,:Person,1956,,Tom Hanks,,,,76d3384b-c8b9-4b99-a591-b90f34c0bb96,,,,,,
72,:Person,1941,,Nora Ephron,,,,76d3384b-c8b9-4b99-a591-b90f34c0bb96,,,,,,
73,:Movie,,,,1993,"What if someone you never met, someone you never saw, someone you never knew was the only someone for you?",Sleepless in Seattle,76d3384b-c8b9-4b99-a591-b90f34c0bb96,,,,,,
74,:Person,1956,,Rita Wilson,,,,76d3384b-c8b9-4b99-a591-b90f34c0bb96,,,,,,
75,:Person,1953,,Bill Pullman,,,,76d3384b-c8b9-4b99-a591-b90f34c0bb96,,,,,,
76,:Person,1949,,Victor Garber,,,,76d3384b-c8b9-4b99-a591-b90f34c0bb96,,,,,,
77,:Person,1962,,Rosie O'Donnell,,,,76d3384b-c8b9-4b99-a591-b90f34c0bb96,,,,,,
78,:Movie,,,,1990,"A story of love, lava and burning desire.",Joe Versus the Volcano,76d3384b-c8b9-4b99-a591-b90f34c0bb96,,,,,,
79,:Person,1950,,John Patrick Stanley,,,,76d3384b-c8b9-4b99-a591-b90f34c0bb96,,,,,,
80,:Person,1956,,Nathan Lane,,,,76d3384b-c8b9-4b99-a591-b90f34c0bb96,,,,,,
81,:Movie,,,,1998,Can two friends sleep together and still love each other in the morning?,When Harry Met Sally,76d3384b-c8b9-4b99-a591-b90f34c0bb96,,,,,,
82,:Person,1948,,Billy Crystal,,,,76d3384b-c8b9-4b99-a591-b90f34c0bb96,,,,,,
83,:Person,1956,,Carrie Fisher,,,,76d3384b-c8b9-4b99-a591-b90f34c0bb96,,,,,,
84,:Person,1949,,Bruno Kirby,,,,76d3384b-c8b9-4b99-a591-b90f34c0bb96,,,,,,
85,:Movie,,,,1996,In every life there comes a time when that thing you dream becomes that thing you do,That Thing You Do,76d3384b-c8b9-4b99-a591-b90f34c0bb96,,,,,,
86,:Person,1977,,Liv Tyler,,,,76d3384b-c8b9-4b99-a591-b90f34c0bb96,,,,,,
87,:Movie,,,,2000,"Pain heals, Chicks dig scars... Glory lasts forever",The Replacements,76d3384b-c8b9-4b99-a591-b90f34c0bb96,,,,,,
88,:Person,1970,,Brooke Langton,,,,76d3384b-c8b9-4b99-a591-b90f34c0bb96,,,,,,
89,:Person,1930,,Gene Hackman,,,,76d3384b-c8b9-4b99-a591-b90f34c0bb96,,,,,,
90,:Person,1968,,Orlando Jones,,,,76d3384b-c8b9-4b99-a591-b90f34c0bb96,,,,,,
91,:Person,1950,,Howard Deutch,,,,76d3384b-c8b9-4b99-a591-b90f34c0bb96,,,,,,
92,:Movie,,,,2006,Based on the extraordinary true story of one man's fight for freedom,RescueDawn,76d3384b-c8b9-4b99-a591-b90f34c0bb96,,,,,,
93,:Person,1974,,Christian Bale,,,,76d3384b-c8b9-4b99-a591-b90f34c0bb96,,,,,,
94,:Person,1954,,Zach Grenier,,,,76d3384b-c8b9-4b99-a591-b90f34c0bb96,,,,,,
95,:Movie,,,,1996,Come as you are,The Birdcage,76d3384b-c8b9-4b99-a591-b90f34c0bb96,,,,,,
96,:Person,1931,,Mike Nichols,,,,76d3384b-c8b9-4b99-a591-b90f34c0bb96,,,,,,
97,:Movie,,,,1992,"It's a hell of a thing, killing a man",Unforgiven,76d3384b-c8b9-4b99-a591-b90f34c0bb96,,,,,,
98,:Person,1930,,Richard Harris,,,,76d3384b-c8b9-4b99-a591-b90f34c0bb96,,,,,,
99,:Person,1930,,Clint Eastwood,,,,76d3384b-c8b9-4b99-a591-b90f34c0bb96,,,,,,
100,:Movie,,,,1995,The hottest data on earth. In the coolest head in town,Johnny Mnemonic,76d3384b-c8b9-4b99-a591-b90f34c0bb96,,,,,,
101,:Person,1947,,Takeshi Kitano,,,,76d3384b-c8b9-4b99-a591-b90f34c0bb96,,,,,,
102,:Person,1968,,Dina Meyer,,,,76d3384b-c8b9-4b99-a591-b90f34c0bb96,,,,,,
103,:Person,1958,,Ice-T,,,,76d3384b-c8b9-4b99-a591-b90f34c0bb96,,,,,,
104,:Person,1953,,Robert Longo,,,,76d3384b-c8b9-4b99-a591-b90f34c0bb96,,,,,,
105,:Movie,,,,2012,Everything is connected,Cloud Atlas,76d3384b-c8b9-4b99-a591-b90f34c0bb96,,,,,,
106,:Person,1966,,Halle Berry,,,,76d3384b-c8b9-4b99-a591-b90f34c0bb96,,,,,,
107,:Person,1949,,Jim Broadbent,,,,76d3384b-c8b9-4b99-a591-b90f34c0bb96,,,,,,
108,:Person,1965,,Tom Tykwer,,,,76d3384b-c8b9-4b99-a591-b90f34c0bb96,,,,,,
109,:Person,1969,,David Mitchell,,,,76d3384b-c8b9-4b99-a591-b90f34c0bb96,,,,,,
110,:Person,1961,,Stefan Arndt,,,,76d3384b-c8b9-4b99-a591-b90f34c0bb96,,,,,,
111,:Movie,,,,2006,Break The Codes,The Da Vinci Code,76d3384b-c8b9-4b99-a591-b90f34c0bb96,,,,,,
112,:Person,1939,,Ian McKellen,,,,76d3384b-c8b9-4b99-a591-b90f34c0bb96,,,,,,
113,:Person,1976,,Audrey Tautou,,,,76d3384b-c8b9-4b99-a591-b90f34c0bb96,,,,,,
114,:Person,1971,,Paul Bettany,,,,76d3384b-c8b9-4b99-a591-b90f34c0bb96,,,,,,
115,:Person,1954,,Ron Howard,,,,76d3384b-c8b9-4b99-a591-b90f34c0bb96,,,,,,
116,:Movie,,,,2006,Freedom! Forever!,V for Vendetta,76d3384b-c8b9-4b99-a591-b90f34c0bb96,,,,,,
117,:Person,1981,,Natalie Portman,,,,76d3384b-c8b9-4b99-a591-b90f34c0bb96,,,,,,
118,:Person,1946,,Stephen Rea,,,,76d3384b-c8b9-4b99-a591-b90f34c0bb96,,,,,,
119,:Person,1940,,John Hurt,,,,76d3384b-c8b9-4b99-a591-b90f34c0bb96,,,,,,
120,:Person,1967,,Ben Miles,,,,76d3384b-c8b9-4b99-a591-b90f34c0bb96,,,,,,
121,:Movie,,,,2008,Speed has no limits,Speed Racer,76d3384b-c8b9-4b99-a591-b90f34c0bb96,,,,,,
122,:Person,1985,,Emile Hirsch,,,,76d3384b-c8b9-4b99-a591-b90f34c0bb96,,,,,,
123,:Person,1960,,John Goodman,,,,76d3384b-c8b9-4b99-a591-b90f34c0bb96,,,,,,
124,:Person,1946,,Susan Sarandon,,,,76d3384b-c8b9-4b99-a591-b90f34c0bb96,,,,,,
125,:Person,1966,,Matthew Fox,,,,76d3384b-c8b9-4b99-a591-b90f34c0bb96,,,,,,
126,:Person,1980,,Christina Ricci,,,,76d3384b-c8b9-4b99-a591-b90f34c0bb96,,,,,,
127,:Person,1982,,Rain,,,,76d3384b-c8b9-4b99-a591-b90f34c0bb96,,,,,,
128,:Movie,,,,2009,Prepare to enter a secret world of assassins,Ninja Assassin,76d3384b-c8b9-4b99-a591-b90f34c0bb96,,,,,,
129,:Person,,,Naomie Harris,,,,76d3384b-c8b9-4b99-a591-b90f34c0bb96,,,,,,
130,:Movie,,,,1999,Walk a mile you'll never forget.,The Green Mile,76d3384b-c8b9-4b99-a591-b90f34c0bb96,,,,,,
131,:Person,1957,,Michael Clarke Duncan,,,,76d3384b-c8b9-4b99-a591-b90f34c0bb96,,,,,,
132,:Person,1953,,David Morse,,,,76d3384b-c8b9-4b99-a591-b90f34c0bb96,,,,,,
133,:Person,1968,,Sam Rockwell,,,,76d3384b-c8b9-4b99-a591-b90f34c0bb96,,,,,,
134,:Person,1955,,Gary Sinise,,,,76d3384b-c8b9-4b99-a591-b90f34c0bb96,,,,,,
135,:Person,1959,,Patricia Clarkson,,,,76d3384b-c8b9-4b99-a591-b90f34c0bb96,,,,,,
136,:Person,1959,,Frank Darabont,,,,76d3384b-c8b9-4b99-a591-b90f34c0bb96,,,,,,
137,:Movie,,,,2008,400 million people were waiting for the truth.,Frost/Nixon,76d3384b-c8b9-4b99-a591-b90f34c0bb96,,,,,,
138,:Person,1938,,Frank Langella,,,,76d3384b-c8b9-4b99-a591-b90f34c0bb96,,,,,,
139,:Person,1969,,Michael Sheen,,,,76d3384b-c8b9-4b99-a591-b90f34c0bb96,,,,,,
140,:Person,1960,,Oliver Platt,,,,76d3384b-c8b9-4b99-a591-b90f34c0bb96,,,,,,
141,:Movie,,,,1992,He didn't want law. He wanted justice.,Hoffa,76d3384b-c8b9-4b99-a591-b90f34c0bb96,,,,,,
142,:Person,1944,,Danny DeVito,,,,76d3384b-c8b9-4b99-a591-b90f34c0bb96,,,,,,
143,:Person,1965,,John C. Reilly,,,,76d3384b-c8b9-4b99-a591-b90f34c0bb96,,,,,,
144,:Movie,,,,1995,"Houston, we have a problem.",Apollo 13,76d3384b-c8b9-4b99-a591-b90f34c0bb96,,,,,,
145,:Person,1950,,Ed Harris,,,,76d3384b-c8b9-4b99-a591-b90f34c0bb96,,,,,,
146,:Person,1955,,Bill Paxton,,,,76d3384b-c8b9-4b99-a591-b90f34c0bb96,,,,,,
147,:Movie,,,,1996,Don't Breathe. Don't Look Back.,Twister,76d3384b-c8b9-4b99-a591-b90f34c0bb96,,,,,,
148,:Person,1967,,Philip Seymour Hoffman,,,,76d3384b-c8b9-4b99-a591-b90f34c0bb96,,,,,,
149,:Person,1943,,Jan de Bont,,,,76d3384b-c8b9-4b99-a591-b90f34c0bb96,,,,,,
150,:Movie,,,,2000,"At the edge of the world, his journey begins.",Cast Away,76d3384b-c8b9-4b99-a591-b90f34c0bb96,,,,,,
151,:Person,1951,,Robert Zemeckis,,,,76d3384b-c8b9-4b99-a591-b90f34c0bb96,,,,,,
152,:Movie,,,,1975,"If he's crazy, what does that make you?",One Flew Over the Cuckoo's Nest,76d3384b-c8b9-4b99-a591-b90f34c0bb96,,,,,,
153,:Person,1932,,Milos Forman,,,,76d3384b-c8b9-4b99-a591-b90f34c0bb96,,,,,,
154,:Movie,,,,2003,,Something's Gotta Give,76d3384b-c8b9-4b99-a591-b90f34c0bb96,,,,,,
155,:Person,1946,,Diane Keaton,,,,76d3384b-c8b9-4b99-a591-b90f34c0bb96,,,,,,
156,:Person,1949,,Nancy Meyers,,,,76d3384b-c8b9-4b99-a591-b90f34c0bb96,,,,,,
157,:Movie,,,,1999,One robot's 200 year journey to become an ordinary man.,Bicentennial Man,76d3384b-c8b9-4b99-a591-b90f34c0bb96,,,,,,
158,:Person,1958,,Chris Columbus,,,,76d3384b-c8b9-4b99-a591-b90f34c0bb96,,,,,,
159,:Movie,,,,2007,A stiff drink. A little mascara. A lot of nerve. Who said they couldn't bring down the Soviet empire.,Charlie Wilson's War,76d3384b-c8b9-4b99-a591-b90f34c0bb96,,,,,,
160,:Person,1967,,Julia Roberts,,,,76d3384b-c8b9-4b99-a591-b90f34c0bb96,,,,,,
161,:Movie,,,,2004,This Holiday Season... Believe,The Polar Express,76d3384b-c8b9-4b99-a591-b90f34c0bb96,,,,,,
162,:Movie,,,,1992,Once in a lifetime you get a chance to do something different.,A League of Their Own,76d3384b-c8b9-4b99-a591-b90f34c0bb96,,,,,,
163,:Person,1954,,Madonna,,,,76d3384b-c8b9-4b99-a591-b90f34c0bb96,,,,,,
164,:Person,1956,,Geena Davis,,,,76d3384b-c8b9-4b99-a591-b90f34c0bb96,,,,,,
165,:Person,1963,,Lori Petty,,,,76d3384b-c8b9-4b99-a591-b90f34c0bb96,,,,,,
166,:Person,1943,,Penny Marshall,,,,76d3384b-c8b9-4b99-a591-b90f34c0bb96,,,,,,
167,:Person,,,Paul Blythe,,,,76d3384b-c8b9-4b99-a591-b90f34c0bb96,,,,,,
168,:Person,,,Angela Scope,,,,76d3384b-c8b9-4b99-a591-b90f34c0bb96,,,,,,
169,:Person,,,Jessica Thompson,,,,76d3384b-c8b9-4b99-a591-b90f34c0bb96,,,,,,
170,:Person,,,James Thompson,,,,76d3384b-c8b9-4b99-a591-b90f34c0bb96,,,,,,
,,,,,,,,,1,0,ACTED_IN,,"["Neo"]",
,,,,,,,,,2,0,ACTED_IN,,"["Trinity"]",
,,,,,,,,,3,0,ACTED_IN,,"["Morpheus"]",
,,,,,,,,,4,0,ACTED_IN,,"["Agent Smith"]",
,,,,,,,,,5,0,DIRECTED,,,
,,,,,,,,,6,0,DIRECTED,,,
,,,,,,,,,7,0,PRODUCED,,,
,,,,,,,,,8,0,ACTED_IN,,"["Emil"]",
,,,,,,,,,1,9,ACTED_IN,,"["Neo"]",
,,,,,,,,,2,9,ACTED_IN,,"["Trinity"]",
,,,,,,,,,3,9,ACTED_IN,,"["Morpheus"]",
,,,,,,,,,4,9,ACTED_IN,,"["Agent Smith"]",
,,,,,,,,,5,9,DIRECTED,,,
,,,,,,,,,6,9,DIRECTED,,,
,,,,,,,,,7,9,PRODUCED,,,
,,,,,,,,,1,10,ACTED_IN,,"["Neo"]",
,,,,,,,,,2,10,ACTED_IN,,"["Trinity"]",
,,,,,,,,,3,10,ACTED_IN,,"["Morpheus"]",
,,,,,,,,,4,10,ACTED_IN,,"["Agent Smith"]",
,,,,,,,,,5,10,DIRECTED,,,
,,,,,,,,,6,10,DIRECTED,,,
,,,,,,,,,7,10,PRODUCED,,,
,,,,,,,,,1,11,ACTED_IN,,"["Kevin Lomax"]",
,,,,,,,,,12,11,ACTED_IN,,"["Mary Ann Lomax"]",
,,,,,,,,,13,11,ACTED_IN,,"["John Milton"]",
,,,,,,,,,14,11,DIRECTED,,,
,,,,,,,,,16,15,ACTED_IN,,"["Lt. Daniel Kaffee"]",
,,,,,,,,,17,15,ACTED_IN,,"["Col. Nathan R. Jessup"]",
,,,,,,,,,18,15,ACTED_IN,,"["Lt. Cdr. JoAnne Galloway"]",
,,,,,,,,,19,15,ACTED_IN,,"["Capt. Jack Ross"]",
,,,,,,,,,20,15,ACTED_IN,,"["Lt. Jonathan Kendrick"]",
,,,,,,,,,21,15,ACTED_IN,,"["Cpl. Jeffrey Barnes"]",
,,,,,,,,,22,15,ACTED_IN,,"["Cpl. Carl Hammaker"]",
,,,,,,,,,23,15,ACTED_IN,,"["Lt. Sam Weinberg"]",
,,,,,,,,,24,15,ACTED_IN,,"["Lt. Col. Matthew Andrew Markinson"]",
,,,,,,,,,25,15,ACTED_IN,,"["Pfc. Louden Downey"]",
,,,,,,,,,26,15,ACTED_IN,,"["Dr. Stone"]",
,,,,,,,,,28,15,ACTED_IN,,"["Man in Bar"]",
,,,,,,,,,27,15,DIRECTED,,,
,,,,,,,,,28,15,WROTE,,,
,,,,,,,,,16,29,ACTED_IN,,"["Maverick"]",
,,,,,,,,,30,29,ACTED_IN,,"["Charlie"]",
,,,,,,,,,31,29,ACTED_IN,,"["Iceman"]",
,,,,,,,,,32,29,ACTED_IN,,"["Goose"]",
,,,,,,,,,33,29,ACTED_IN,,"["Viper"]",
,,,,,,,,,34,29,ACTED_IN,,"["Carole"]",
,,,,,,,,,35,29,DIRECTED,,,
,,,,,,,,,36,29,WROTE,,,
,,,,,,,,,16,37,ACTED_IN,,"["Jerry Maguire"]",
,,,,,,,,,22,37,ACTED_IN,,"["Rod Tidwell"]",
,,,,,,,,,38,37,ACTED_IN,,"["Dorothy Boyd"]",
,,,,,,,,,39,37,ACTED_IN,,"["Avery Bishop"]",
,,,,,,,,,40,37,ACTED_IN,,"["Frank Cushman"]",
,,,,,,,,,41,37,ACTED_IN,,"["Bob Sugar"]",
,,,,,,,,,42,37,ACTED_IN,,"["Laurel Boyd"]",
,,,,,,,,,43,37,ACTED_IN,,"["Marcee Tidwell"]",
,,,,,,,,,44,37,ACTED_IN,,"["Ray Boyd"]",
,,,,,,,,,45,37,DIRECTED,,,
,,,,,,,,,45,37,PRODUCED,,,
,,,,,,,,,45,37,WROTE,,,
,,,,,,,,,49,46,ACTED_IN,,"["Gordie Lachance"]",
,,,,,,,,,47,46,ACTED_IN,,"["Chris Chambers"]",
,,,,,,,,,40,46,ACTED_IN,,"["Vern Tessio"]",
,,,,,,,,,48,46,ACTED_IN,,"["Teddy Duchamp"]",
,,,,,,,,,50,46,ACTED_IN,,"["Denny Lachance"]",
,,,,,,,,,20,46,ACTED_IN,,"["Ace Merrill"]",
,,,,,,,,,51,46,ACTED_IN,,"["Mr. Lachance"]",
,,,,,,,,,27,46,DIRECTED,,,
,,,,,,,,,17,52,ACTED_IN,,"["Melvin Udall"]",
,,,,,,,,,53,52,ACTED_IN,,"["Carol Connelly"]",
,,,,,,,,,54,52,ACTED_IN,,"["Simon Bishop"]",
,,,,,,,,,22,52,ACTED_IN,,"["Frank Sachs"]",
,,,,,,,,,55,52,DIRECTED,,,
,,,,,,,,,60,56,ACTED_IN,,"["Chris Nielsen"]",
,,,,,,,,,22,56,ACTED_IN,,"["Albert Lewis"]",
,,,,,,,,,57,56,ACTED_IN,,"["Annie Collins-Nielsen"]",
,,,,,,,,,58,56,ACTED_IN,,"["The Tracker"]",
,,,,,,,,,59,56,ACTED_IN,,"["The Face"]",
,,,,,,,,,61,56,DIRECTED,,,
,,,,,,,,,63,62,ACTED_IN,,"["Ishmael Chambers"]",
,,,,,,,,,64,62,ACTED_IN,,"["Kazuo Miyamoto"]",
,,,,,,,,,58,62,ACTED_IN,,"["Nels Gudmundsson"]",
,,,,,,,,,65,62,ACTED_IN,,"["Judge Fielding"]",
,,,,,,,,,66,62,DIRECTED,,,
,,,,,,,,,71,67,ACTED_IN,,"["Joe Fox"]",
,,,,,,,,,34,67,ACTED_IN,,"["Kathleen Kelly"]",
,,,,,,,,,54,67,ACTED_IN,,"["Frank Navasky"]",
,,,,,,,,,68,67,ACTED_IN,,"["Patricia Eden"]",
,,,,,,,,,69,67,ACTED_IN,,"["Kevin Jackson"]",
,,,,,,,,,70,67,ACTED_IN,,"["George Pappas"]",
,,,,,,,,,72,67,DIRECTED,,,
,,,,,,,,,71,73,ACTED_IN,,"["Sam Baldwin"]",
,,,,,,,,,34,73,ACTED_IN,,"["Annie Reed"]",
,,,,,,,,,74,73,ACTED_IN,,"["Suzy"]",
,,,,,,,,,75,73,ACTED_IN,,"["Walter"]",
,,,,,,,,,76,73,ACTED_IN,,"["Greg"]",
,,,,,,,,,77,73,ACTED_IN,,"["Becky"]",
,,,,,,,,,72,73,DIRECTED,,,
,,,,,,,,,71,78,ACTED_IN,,"["Joe Banks"]",
,,,,,,,,,34,78,ACTED_IN,,"["DeDe","Angelica Graynamore","Patricia Graynamore"]",
,,,,,,,,,80,78,ACTED_IN,,"["Baw"]",
,,,,,,,,,79,78,DIRECTED,,,
,,,,,,,,,82,81,ACTED_IN,,"["Harry Burns"]",
,,,,,,,,,34,81,ACTED_IN,,"["Sally Albright"]",
,,,,,,,,,83,81,ACTED_IN,,"["Marie"]",
,,,,,,,,,84,81,ACTED_IN,,"["Jess"]",
,,,,,,,,,27,81,DIRECTED,,,
,,,,,,,,,27,81,PRODUCED,,,
,,,,,,,,,72,81,PRODUCED,,,
,,,,,,,,,72,81,WROTE,,,
,,,,,,,,,71,85,ACTED_IN,,"["Mr. White"]",
,,,,,,,,,86,85,ACTED_IN,,"["Faye Dolan"]",
,,,,,,,,,12,85,ACTED_IN,,"["Tina"]",
,,,,,,,,,71,85,DIRECTED,,,
,,,,,,,,,1,87,ACTED_IN,,"["Shane Falco"]",
,,,,,,,,,88,87,ACTED_IN,,"["Annabelle Farrell"]",
,,,,,,,,,89,87,ACTED_IN,,"["Jimmy McGinty"]",
,,,,,,,,,90,87,ACTED_IN,,"["Clifford Franklin"]",
