_id|_labels|bar|body|born|children|id|myProp|name|prop|released|tagline|time|title|uuid|_start|_end|_type|id|rating|roles|summary
22|:Person|||1971||||Noah Wyle||||||d012222a-05c4-4ebd-9e12-4410db3fc664|||||||
23|:Person|||1968||||Cuba Gooding Jr.||||||2e75e635-c2e1-4201-96f5-1089fc354645|||||||
24|:Person|||1957||||Kevin Pollak||||||cb1f2992-91af-4ce2-811b-bd67558d5396|||||||
25|:Person|||1943||||J.T. Walsh||||||8b06cde5-c8b6-4c9d-a5a4-6be7a7d128e1|||||||
26|:Person|||1967||||James Marshall||||||c90dcf16-1b2d-4236-bc09-83c72a33e727|||||||
27|:Person|||1948||||Christopher Guest||||||b85ac800-7a98-4473-9e14-f90ef60a2a08|||||||
28|:Person|||1947||||Rob Reiner||||||c2ad340d-ce64-4ef0-be16-3a7f42a34166|||||||
29|:Person|||1961||||Aaron Sorkin||||||416f396e-b164-4290-ac51-69574ce82026|||||||
30|:Movie|||||||||1986|I feel the need, the need for speed.||Top Gun||||||||
31|:Person|||1957||||Kelly McGillis||||||0da8a330-38c5-4346-8274-76ed45956f7f|||||||
32|:Person|||1959||||Val Kilmer||||||69042bd6-714b-456e-bb32-4dfd838cb2a4|||||||
33|:Person|||1962||||Anthony Edwards||||||9d5b2a26-25f2-4487-96ab-fc53a6e4bab2|||||||
34|:Person|||1933||||Tom Skerritt||||||86592913-3844-4c4c-9ee5-7003930d8e4a|||||||
35|:Person|||1961||||Meg Ryan||||||6b8e3a50-600a-43a2-b87e-861aca2c5cc7|||||||
36|:Person|||1944||||Tony Scott||||||38cf1a23-aead-4669-bc8f-c90c5a7d4169|||||||
37|:Person|||1941||||Jim Cash||||||d2b06b8a-0955-4915-80f4-487826599e08|||||||
38|:Movie|||||||||2000|The rest of his life begins now.||Jerry Maguire||||||||
39|:Person|||1969||||Renee Zellweger||||||d3172e92-7d53-4eb4-b788-95dc94ee0e30|||||||
40|:Person|||1962||||Kelly Preston||||||4c94efae-b61d-414c-83c0-6e5b57e0780d|||||||
41|:Person|||1974||||Jerry O'Connell||||||de87b4fe-62be-4a45-89d5-26cdbbc87709|||||||
42|:Person|||1970||||Jay Mohr||||||808f2d08-36e0-48e6-b112-78439149dfaf|||||||
43|:Person|||1961||||Bonnie Hunt||||||534576a8-cef6-46ca-bf2f-eb759e639f4f|||||||
44|:Person|||1971||||Regina King||||||8214aeae-3fcb-459a-9d1e-8c89ba77239f|||||||
45|:Person|||1996||||Jonathan Lipnicki||||||268af54d-3bf7-478a-9aaa-72cfd7de40fd|||||||
46|:Person|||1957||||Cameron Crowe||||||7591c1a5-9559-4edc-911f-64fdfeeedb4d|||||||
47|:Movie|||||||||1986|For some, it's the last real taste of innocence, and the first real taste of life. But for everyone, it's the time that memories are made of.||Stand By Me||||||||
48|:Person|||1970||||River Phoenix||||||dd0f0ed2-f593-4302-89f6-9053251139d4|||||||
49|:Person|||1971||||Corey Feldman||||||9432520f-a659-469f-ac8d-d4846cd2682f|||||||
50|:Person|||1972||||Wil Wheaton||||||53fec9b3-00ac-47cb-bfa9-1d5155030e2e|||||||
51|:Person|||1966||||John Cusack||||||3f89b0fa-239d-490b-b30d-937ac86ef469|||||||
52|:Person|||1942||||Marshall Bell||||||69127c82-952e-4cfd-b96e-f6363a90b1ea|||||||
53|:Movie|||||||||1997|A comedy from the heart that goes for the throat.||As Good as It Gets||||||||
54|:Person|||1963||||Helen Hunt||||||4fa141c1-aa76-43f1-a6b7-bd553032b720|||||||
55|:Person|||1963||||Greg Kinnear||||||d2b66d6a-c22b-420e-b6a6-06f68ed91c4f|||||||
56|:Person|||1940||||James L. Brooks||||||d053d3c6-18a9-4716-b804-1299a02df525|||||||
57|:Movie|||||||||1998|After life there is more. The end is just the beginning.||What Dreams May Come||||||||
58|:Person|||1960||||Annabella Sciorra||||||2e500e07-3cb1-4dba-b418-6f03dbe0a178|||||||
59|:Person|||1929||||Max von Sydow||||||b542b45c-2183-4d30-9b0f-b503f2551298|||||||
60|:Person|||1942||||Werner Herzog||||||810443fe-8cee-4e1a-a9d5-16365b2d835c|||||||
61|:Person|||1951||||Robin Williams||||||ba395628-63c4-410b-b809-70cfa5db824d|||||||
62|:Person|||1956||||Vincent Ward||||||a0c4f043-cacc-48b7-ab69-a44ff23c611e|||||||
63|:Movie|||||||||1999|First loves last. Forever.||Snow Falling on Cedars||||||||
64|:Person|||1970||||Ethan Hawke||||||4ed32d9d-345f-41ef-8352-08159ad65eab|||||||
65|:Person|||1971||||Rick Yune||||||6d75c455-f813-41f9-80fe-224d6e0e148a|||||||
66|:Person|||1940||||James Cromwell||||||72c7916d-4bfb-42a2-a8d6-80f42478ede4|||||||
67|:Person|||1953||||Scott Hicks||||||cc455aea-5c59-4134-b183-19952ff78273|||||||
68|:Movie|||||||||1998|At odds in life... in love on-line.||You've Got Mail||||||||
69|:Person|||1968||||Parker Posey||||||e076e4ac-1c68-4fa4-876c-a259f9b1b2bf|||||||
70|:Person|||1973||||Dave Chappelle||||||c96172d1-a83e-431c-8516-9d42e067b429|||||||
71|:Person|||1967||||Steve Zahn||||||692813c1-1ee2-4598-ac70-536ebe3c8cb5|||||||
72|:Person|||1956||||Tom Hanks||||||b0c7ec29-e756-4a59-8ec7-de9ed0997add|||||||
73|:Person|||1941||||Nora Ephron||||||c8b25f92-125d-40ff-9ded-6b6afc1365b3|||||||
74|:Movie|||||||||1993|What if someone you never met, someone you never saw, someone you never knew was the only someone for you?||Sleepless in Seattle||||||||
75|:Person|||1956||||Rita Wilson||||||9746a418-c0e0-47dd-b735-347bbc7cfac8|||||||
76|:Person|||1953||||Bill Pullman||||||f1051f30-4e26-42d5-aee7-e65748b0148a|||||||
77|:Person|||1949||||Victor Garber||||||3cb6510b-e916-47a7-b8bd-aa0f157b5f9f|||||||
78|:Person|||1962||||Rosie O'Donnell||||||372f257d-f8d6-4926-9d35-57a6fc13eaf5|||||||
79|:Movie|||||||||1990|A story of love, lava and burning desire.||Joe Versus the Volcano||||||||
80|:Person|||1950||||John Patrick Stanley||||||78c3a64b-1da4-4acf-8b95-31aee74e1ea4|||||||
81|:Person|||1956||||Nathan Lane||||||6f2aebcf-20bd-454c-b9e7-126b7f3b627d|||||||
82|:Movie|||||||||1998|Can two friends sleep together and still love each other in the morning?||When herry Met Sally||||||||
83|:Person|||1948||||Billy Crystal||||||ce5713c8-3df8-4ff2-a406-79c8e607ab4f|||||||
84|:Person|||1956||||Carrie Fisher||||||0da044c5-a42a-47d6-bd8a-24c9f0041e91|||||||
85|:Person|||1949||||Bruno Kirby||||||798487ce-eb97-43c7-ab24-2d3df279fcd3|||||||
86|:Movie|||||||||1996|In every life there comes a time when that thing you dream becomes that thing you do||That Thing You Do||||||||
87|:Person|||1977||||Liv Tyler||||||5301789f-9782-4b92-9650-3702123db21f|||||||
88|:Movie|||||||||2000|Pain heals, Chicks dig scars... Glory lasts forever||The Replacements||||||||
89|:Person|||1970||||Brooke Langton||||||3287cec9-05e0-4dae-af86-2b788efb6c54|||||||
90|:Person|||1929||||Gene Hackman||||||72cdd227-a615-4c39-a6aa-c7ee899b884a|||||||
91|:Person|||1968||||Orlando Jones||||||9ec4d7e1-3caa-4d8c-aa01-6ce7120fc3af|||||||
92|:Person|||1950||||Howard Deutch||||||07578678-3444-4a7d-9f00-b4464ffc193e|||||||
93|:Movie|||||||||2006|Based on the extraordinary true story of one man's fight for freedom||RescueDawn||||||||
94|:Person|||1974||||Christian Bale||||||231dbe90-def5-49e8-8784-7788154be91e|||||||
95|:Person|||1954||||Zach Grenier||||||3852548b-d368-44ae-84a5-e28a35b4b8d4|||||||
96|:Movie|||||||||1996|Come as you are||The Birdcage||||||||
97|:Person|||1931||||Mike Nichols||||||6695ef4a-8986-4ca6-a108-8f9d906456ee|||||||
98|:Movie|||||||||1992|It's a hell of a thing, killing a man||Unforgiven||||||||
99|:Person|||1930||||Richard Harris||||||a6a12fc3-d0b9-46b7-819c-1fae7318dfd8|||||||
100|:Person|||1930||||Clint Eastwood||||||3b8fe0bf-353f-4a96-ae3e-a0529d860209|||||||
101|:Movie|||||||||1995|The hottest data on earth. In the coolest head in town||Johnny Mnemonic||||||||
102|:Person|||1947||||Takeshi Kitano||||||f9df36cb-aacb-44c6-8bb3-9730f626aa27|||||||
103|:Person|||1968||||Dina Meyer||||||863e4c17-5fa8-4d34-bbbb-29e893aba3c2|||||||
104|:Person|||1958||||Ice-T||||||d4bbc203-4fc4-413d-8cc5-b4522a402200|||||||
105|:Person|||1953||||Robert Longo||||||1319f842-4662-4f38-88c3-1bd718a571ac|||||||
106|:Movie|||||||||2012|Everything is connected||Cloud Atlas||||||||
107|:Person|||1966||||Halle Berry||||||1f51ffd1-1c2d-48fc-86c8-4f8ec43e3366|||||||
108|:Person|||1949||||Jim Broadbent||||||c614ef9c-c24c-48bf-957f-256ec673fb7d|||||||
109|:Person|||1965||||Tom Tykwer||||||059995de-2ee0-4dba-86dd-27cb2f47f23e|||||||
110|:Person|||1969||||David Mitchell||||||a3e7272f-e1ba-4bbd-9f56-cac1d60ad300|||||||
111|:Person|||1961||||Stefan Arndt||||||7ec7eef5-06af-47e4-9ce8-398f5be174c2|||||||
112|:Movie|||||||||2006|Break The Codes||The Da Vinci Code||||||||
113|:Person|||1939||||Ian McKellen||||||ffb86f6c-6b69-4d58-b37e-bc969d61af6f|||||||
114|:Person|||1976||||Audrey Tautou||||||bb197c1f-8c46-4a3b-9f9b-54c2662347e0|||||||
115|:Person|||1971||||Paul Bettany||||||c956ea75-9a91-4e21-831c-3da41f8d9aa4|||||||
116|:Person|||1954||||Ron Howard||||||ff758876-0f1b-4632-9b0e-a6e6799488b0|||||||
117|:Movie|||||||||2006|Freedom! Forever!||V for Vendetta||||||||
118|:Person|||1981||||Natalie Portman||||||6072c27b-ab2a-4429-8b51-9ec0ab7721c4|||||||
119|:Person|||1946||||Stephen Rea||||||b7c6285d-796e-4d82-9962-3498f37bda4a|||||||
120|:Person|||1940||||John Hurt||||||bc2b77d3-b60a-4772-8550-5726dada83db|||||||
121|:Person|||1967||||Ben Miles||||||5c146b9e-0e7f-4f80-bcd6-a14ac04aa838|||||||
122|:Movie|||||||||2008|Speed has no limits||Speed Racer||||||||
123|:Person|||1985||||Emile Hirsch||||||9080b407-bac0-47f0-9198-ccc48e940562|||||||
124|:Person|||1960||||John Goodman||||||4c130d02-f620-4594-832b-3fbe4fe3c0d1|||||||
125|:Person|||1946||||Susan Sarandon||||||6523200b-40a9-4f7a-b564-8f3889236d7f|||||||
126|:Person|||1966||||Matthew Fox||||||985415a2-6d84-44c2-8382-03e0390ba865|||||||
127|:Person|||1980||||Christina Ricci||||||278bd32b-1bbc-4d20-8e4d-114350e400fd|||||||
128|:Person|||1982||||Rain||||||8faa0c9f-9224-4959-9a30-98af5996ae55|||||||
129|:Movie|||||||||2009|Prepare to enter a secret world of assassins||Ninja Assassin||||||||
130|:Person|||||||Naomie Harris||||||69c3ad12-8443-40ab-84cd-b9f32c3bd1aa|||||||
131|:Movie|||||||||1999|Walk a mile you'll never forget.||The Green Mile||||||||
132|:Person|||1957||||Michael Clarke Duncan||||||61adf99a-7ba4-4e89-9e0b-eb5108998e0a|||||||
133|:Person|||1953||||David Morse||||||2cf0edad-6ded-4556-a965-797d7cb7b2c2|||||||
134|:Person|||1968||||Sam Rockwell||||||d4d08c5d-65b6-4749-a6b0-17dc9d3a8b57|||||||
135|:Person|||1955||||Gary Sinise||||||1ed71021-9e60-4e9b-b8ef-12999923b79d|||||||
136|:Person|||1959||||Patricia Clarkson||||||fec62da9-40b3-4c8b-a462-db7d3222e04e|||||||
137|:Person|||1959||||Frank Darabont||||||264b883c-ed5a-40cb-af58-b39254bcd69c|||||||
138|:Movie|||||||||2008|400 million people were waiting for the truth.||Frost/Nixon||||||||
139|:Person|||1938||||Frank Langella||||||979e96ee-cbe1-4084-94c1-cc7b83be2404|||||||
140|:Person|||1969||||Michael Sheen||||||5353100b-445a-437f-bb5f-31f5a1762f9a|||||||
141|:Person|||1960||||Oliver Platt||||||9ad2e58b-0a5b-48c0-93d8-9128e71dbd2e|||||||
142|:Movie|||||||||1992|He didn't want law. He wanted justice.||Hoffa||||||||
143|:Person|||1944||||Danny DeVito||||||5c20de79-c0c6-47c8-83b6-2a43576fdf0c|||||||
144|:Person|||1965||||John C. Reilly||||||54ed38f0-90b7-4349-a784-ec1a6e451307|||||||
145|:Movie|||||||||1995|Houston, we have a problem.||Apollo 13||||||||
146|:Person|||1950||||Ed Harris||||||f057c323-8491-4fca-88d6-3b980f794a9a|||||||
147|:Person|||1955||||Bill Paxton||||||ea81bb92-0f5c-4214-b5c3-9fc982773b82|||||||
148|:Movie|||||||||1996|Don't Breathe. Don't Look Back.||Twister||||||||
149|:Person|||1967||||Philip Seymour Hoffman||||||d562025e-963a-4490-833f-bbf18117a3de|||||||
150|:Person|||1943||||Jan de Bont||||||3b7d053c-1460-44ff-a10c-f5606a31a358|||||||
151|:Movie|||||||||2000|At the edge of the world, his journey begins.||Cast Away||||||||
152|:Person|||1951||||Robert Zemeckis||||||4f854d57-3e58-43a2-ad67-da7eb11961ce|||||||
153|:Movie|||||||||1975|If he's crazy, what does that make you?||One Flew Over the Cuckoo's Nest||||||||
154|:Person|||1932||||Milos Forman||||||a2af2671-73ae-4181-89f3-e2ce85fbe6eb|||||||
155|:Movie|||||||||2003|||Something's Gotta Give||||||||
156|:Person|||1946||||Diane Keaton||||||99b864bc-6441-461e-b3d5-8076ea59fb68|||||||
157|:Person|||1949||||Nancy Meyers||||||b1f1bd7c-92a8-4f22-bf14-2bd5ae57dc2b|||||||
158|:Movie|||||||||1999|One robot's 200 year journey to become an ordinary man.||Bicentennial Man||||||||
159|:Person|||1958||||Chris Columbus||||||724aafe7-532a-4ab5-947a-a3544b1f6b91|||||||
160|:Movie|||||||||2007|A stiff drink. A little mascara. A lot of nerve. Who said they couldn't bring down the Soviet empire.||Charlie Wilson's War||||||||
161|:Person|||1967||||Julia Roberts||||||0f7b70dd-0fe1-4e13-a462-160f9f6d9aa6|||||||
162|:Movie|||||||||2004|This Holiday Season... Believe||The Polar Express||||||||
163|:Movie|||||||||1992|Once in a lifetime you get a chance to do something different.||A League of Their Own||||||||
164|:Person|||1954||||Madonna||||||d9817e7c-5ad7-42dd-917d-3c29271ae649|||||||
165|:Person|||1956||||Geena Davis||||||4f3451e4-82e2-44b7-b13d-a80dc350e9e8|||||||
166|:Person|||1963||||Lori Petty||||||d5ceaaec-edb9-40ae-832e-b32eedc62d31|||||||
167|:Person|||1943||||Penny Marshall||||||238fb023-c1c9-48ed-954f-6a2e5f843fa6|||||||
168|:Person|||||||Paul Blythe||||||120fa608-c7b6-435b-9e53-566d4cb4c65d|||||||
169|:Person|||||||Angela Scope||||||53a739c2-8801-4113-a969-7354eeb379cf|||||||
170|:Person|||||||Jessica Thompson||||||924745cd-fd6f-48b8-9718-0865b930aae3|||||||
171|:Person|||||||James Thompson||||||bf743a6b-f69c-4d4f-b595-f0c1424e52d0|||||||
172|:Movie|||||||The movie about Giandomenico Fracchia|||||||||||||
173|:NotFracchia|||||||Carrie-Anne Moss|||||||||||||
174|:NotFracchia|||||||Laurence Fishburne|||||||||||||
175|:NotFracchia|||||||Hugo Weaving|||||||||||||
176|:NotFracchia|||||||Lilly Wachowski|||||||||||||
177|:NotFracchia|||||||Lana Wachowski|||||||||||||
178|:NotFracchia|||||||Franco e Ciccio|||||||||||||
179|:NotFracchia|||||||Emil Eifrem|||||||||||||
180|:NotFracchia|||||||Charlize Theron|||||||||||||
181|:NotFracchia|||||||Al Pacino|||||||||||||
182|:NotFracchia|||||||Taylor Hackford|||||||||||||
183|:NotFracchia|||||||Tom Cruise|||||||||||||
184|:NotFracchia|||||||Jack Nicholson|||||||||||||
185|:NotFracchia|||||||Demi Moore|||||||||||||
186|:NotFracchia|||||||Kevin Bacon|||||||||||||
187|:NotFracchia|||||||Kiefer Sutherland|||||||||||||
188|:NotFracchia|||||||Noah Wyle|||||||||||||
189|:NotFracchia|||||||Cuba Gooding Jr.|||||||||||||
190|:NotFracchia|||||||Kevin Pollak|||||||||||||
191|:NotFracchia|||||||J.T. Walsh|||||||||||||
192|:NotFracchia|||||||James Marshall|||||||||||||
193|:NotFracchia|||||||Christopher Guest|||||||||||||
194|:NotFracchia|||||||Rob Reiner|||||||||||||
195|:NotFracchia|||||||Aaron Sorkin|||||||||||||
196|:NotFracchia|||||||Kelly McGillis|||||||||||||
197|:NotFracchia|||||||Val Kilmer|||||||||||||
198|:NotFracchia|||||||Anthony Edwards|||||||||||||
199|:NotFracchia|||||||Tom Skerritt|||||||||||||
200|:NotFracchia|||||||Meg Ryan|||||||||||||
201|:NotFracchia|||||||Tony Scott|||||||||||||
202|:NotFracchia|||||||Jim Cash|||||||||||||
203|:NotFracchia|||||||Renee Zellweger|||||||||||||
204|:NotFracchia|||||||Kelly Preston|||||||||||||
205|:NotFracchia|||||||Jerry O'Connell|||||||||||||
206|:NotFracchia|||||||Jay Mohr|||||||||||||
207|:NotFracchia|||||||Bonnie Hunt|||||||||||||
208|:NotFracchia|||||||Regina King|||||||||||||
209|:NotFracchia|||||||Jonathan Lipnicki|||||||||||||
210|:NotFracchia|||||||Cameron Crowe|||||||||||||
211|:NotFracchia|||||||River Phoenix|||||||||||||
212|:NotFracchia|||||||Corey Feldman|||||||||||||
213|:NotFracchia|||||||Wil Wheaton|||||||||||||
214|:NotFracchia|||||||John Cusack|||||||||||||
215|:NotFracchia|||||||Marshall Bell|||||||||||||
216|:NotFracchia|||||||Helen Hunt|||||||||||||
217|:NotFracchia|||||||Greg Kinnear|||||||||||||
218|:NotFracchia|||||||James L. Brooks|||||||||||||
219|:NotFracchia|||||||Annabella Sciorra|||||||||||||
220|:NotFracchia|||||||Max von Sydow|||||||||||||
221|:NotFracchia|||||||Werner Herzog|||||||||||||
222|:NotFracchia|||||||Robin Williams|||||||||||||
223|:NotFracchia|||||||Vincent Ward|||||||||||||
224|:NotFracchia|||||||Ethan Hawke|||||||||||||
225|:NotFracchia|||||||Rick Yune|||||||||||||
226|:NotFracchia|||||||James Cromwell|||||||||||||
227|:NotFracchia|||||||Scott Hicks|||||||||||||
228|:NotFracchia|||||||Parker Posey|||||||||||||
229|:NotFracchia|||||||Dave Chappelle|||||||||||||
230|:NotFracchia|||||||Steve Zahn|||||||||||||
231|:NotFracchia|||||||Tom Hanks|||||||||||||
232|:NotFracchia|||||||Nora Ephron|||||||||||||
233|:NotFracchia|||||||Rita Wilson|||||||||||||
234|:NotFracchia|||||||Bill Pullman|||||||||||||
235|:NotFracchia|||||||Victor Garber|||||||||||||
236|:NotFracchia|||||||Rosie O'Donnell|||||||||||||
237|:NotFracchia|||||||John Patrick Stanley|||||||||||||
238|:NotFracchia|||||||Nathan Lane|||||||||||||
239|:NotFracchia|||||||Billy Crystal|||||||||||||
240|:NotFracchia|||||||Carrie Fisher|||||||||||||
241|:NotFracchia|||||||Bruno Kirby|||||||||||||
242|:NotFracchia|||||||Liv Tyler|||||||||||||
243|:NotFracchia|||||||Brooke Langton|||||||||||||
244|:NotFracchia|||||||Gene Hackman|||||||||||||
245|:NotFracchia|||||||Orlando Jones|||||||||||||
246|:NotFracchia|||||||Howard Deutch|||||||||||||
247|:NotFracchia|||||||Christian Bale|||||||||||||
248|:NotFracchia|||||||Zach Grenier|||||||||||||
249|:NotFracchia|||||||Mike Nichols|||||||||||||
250|:NotFracchia|||||||Richard Harris|||||||||||||
251|:NotFracchia|||||||Clint Eastwood|||||||||||||
252|:NotFracchia|||||||Takeshi Kitano|||||||||||||
253|:NotFracchia|||||||Dina Meyer|||||||||||||
254|:NotFracchia|||||||Ice-T|||||||||||||
255|:NotFracchia|||||||Robert Longo|||||||||||||
256|:NotFracchia|||||||Halle Berry|||||||||||||
257|:NotFracchia|||||||Jim Broadbent|||||||||||||
258|:NotFracchia|||||||Tom Tykwer|||||||||||||
259|:NotFracchia|||||||David Mitchell|||||||||||||
260|:NotFracchia|||||||Stefan Arndt|||||||||||||
261|:NotFracchia|||||||Ian McKellen|||||||||||||
262|:NotFracchia|||||||Audrey Tautou|||||||||||||
263|:NotFracchia|||||||Paul Bettany|||||||||||||
264|:NotFracchia|||||||Ron Howard|||||||||||||
265|:NotFracchia|||||||Natalie Portman|||||||||||||
266|:NotFracchia|||||||Stephen Rea|||||||||||||
267|:NotFracchia|||||||John Hurt|||||||||||||
268|:NotFracchia|||||||Ben Miles|||||||||||||
269|:NotFracchia|||||||Emile Hirsch|||||||||||||
270|:NotFracchia|||||||John Goodman|||||||||||||
271|:NotFracchia|||||||Susan Sarandon|||||||||||||
272|:NotFracchia|||||||Matthew Fox|||||||||||||
273|:NotFracchia|||||||Christina Ricci|||||||||||||
274|:NotFracchia|||||||Rain|||||||||||||
275|:NotFracchia|||||||Naomie Harris|||||||||||||
276|:NotFracchia|||||||Michael Clarke Duncan|||||||||||||
277|:NotFracchia|||||||David Morse|||||||||||||
278|:NotFracchia|||||||Sam Rockwell|||||||||||||
279|:NotFracchia|||||||Gary Sinise|||||||||||||
280|:NotFracchia|||||||Patricia Clarkson|||||||||||||
281|:NotFracchia|||||||Frank Darabont|||||||||||||
282|:NotFracchia|||||||Frank Langella|||||||||||||
283|:NotFracchia|||||||Michael Sheen|||||||||||||
284|:NotFracchia|||||||Oliver Platt|||||||||||||
285|:NotFracchia|||||||Danny DeVito|||||||||||||
286|:NotFracchia|||||||John C. Reilly|||||||||||||
287|:NotFracchia|||||||Ed Harris|||||||||||||
288|:NotFracchia|||||||Bill Paxton|||||||||||||
289|:NotFracchia|||||||Philip Seymour Hoffman|||||||||||||
290|:NotFracchia|||||||Jan de Bont|||||||||||||
291|:NotFracchia|||||||Robert Zemeckis|||||||||||||
292|:NotFracchia|||||||Milos Forman|||||||||||||
293|:NotFracchia|||||||Diane Keaton|||||||||||||
294|:NotFracchia|||||||Nancy Meyers|||||||||||||
295|:NotFracchia|||||||Chris Columbus|||||||||||||
296|:NotFracchia|||||||Julia Roberts|||||||||||||
297|:NotFracchia|||||||Madonna|||||||||||||
298|:NotFracchia|||||||Geena Davis|||||||||||||
299|:NotFracchia|||||||Lori Petty|||||||||||||
300|:NotFracchia|||||||Penny Marshall|||||||||||||
301|:NotFracchia|||||||Paul Blythe|||||||||||||
302|:NotFracchia|||||||Angela Scope|||||||||||||
303|:NotFracchia|||||||Jessica Thompson|||||||||||||
304|:NotFracchia|||||||James Thompson|||||||||||||
305|:NodePeriodic|||||1||||||1648074199344|||||||||
306|:End|||||1|||||||||||||||
307|:NodePeriodic|||||2||||||1648074199344|||||||||
308|:End|||||2|||||||||||||||
309|:NodePeriodic|||||3||||||1648074199344|||||||||
310|:End|||||3|||||||||||||||
311|:NodePeriodic|||||4||||||1648074199344|||||||||
312|:End|||||4|||||||||||||||
313|:NodePeriodic|||||5||||||1648074199344|||||||||
314|:End|||||5|||||||||||||||
315|:NodePeriodic|||||6||||||1648074199344|||||||||
316|:End|||||6|||||||||||||||
317|:NodePeriodic|||||7||||||1648074199344|||||||||
318|:End|||||7|||||||||||||||
319|:NodePeriodic|||||8||||||1648074199344|||||||||
320|:End|||||8|||||||||||||||
321|:NodePeriodic|||||9||||||1648074199344|||||||||
322|:End|||||9|||||||||||||||
323|:NodePeriodic|||||10||||||1648074199344|||||||||
324|:End|||||10|||||||||||||||
325|:NodePeriodic|||||11||||||1648074199458|||||||||
326|:End|||||11|||||||||||||||
327|:NodePeriodic|||||12||||||1648074199458|||||||||
328|:End|||||12|||||||||||||||
329|:NodePeriodic|||||13||||||1648074199458|||||||||
330|:End|||||13|||||||||||||||
331|:NodePeriodic|||||14||||||1648074199458|||||||||
332|:End|||||14|||||||||||||||
333|:NodePeriodic|||||15||||||1648074199458|||||||||
334|:End|||||15|||||||||||||||
335|:NodePeriodic|||||16||||||1648074199458|||||||||
336|:End|||||16|||||||||||||||
337|:NodePeriodic|||||17||||||1648074199458|||||||||
338|:End|||||17|||||||||||||||
339|:NodePeriodic|||||18||||||1648074199458|||||||||
340|:End|||||18|||||||||||||||
341|:NodePeriodic|||||19||||||1648074199458|||||||||
342|:End|||||19|||||||||||||||
343|:NodePeriodic|||||20||||||1648074199458|||||||||
344|:End|||||20|||||||||||||||
345|:NodePeriodic|||||21||||||1648074199470|||||||||
346|:End|||||21|||||||||||||||
347|:NodePeriodic|||||22||||||1648074199470|||||||||
348|:End|||||22|||||||||||||||
349|:NodePeriodic|||||23||||||1648074199470|||||||||
350|:End|||||23|||||||||||||||
351|:NodePeriodic|||||24||||||1648074199470|||||||||
352|:End|||||24|||||||||||||||
353|:NodePeriodic|||||25||||||1648074199470|||||||||
354|:End|||||25|||||||||||||||
355|:NodePeriodic|||||26||||||1648074199470|||||||||
356|:End|||||26|||||||||||||||
357|:NodePeriodic|||||27||||||1648074199470|||||||||
358|:End|||||27|||||||||||||||
359|:NodePeriodic|||||28||||||1648074199470|||||||||
360|:End|||||28|||||||||||||||
361|:NodePeriodic|||||29||||||1648074199470|||||||||
362|:End|||||29|||||||||||||||
363|:NodePeriodic|||||30||||||1648074199470|||||||||
364|:End|||||30|||||||||||||||
365|:NodePeriodic|||||31||||||1648074199479|||||||||
366|:End|||||31|||||||||||||||
367|:NodePeriodic|||||32||||||1648074199479|||||||||
368|:End|||||32|||||||||||||||
