"_id","_labels","born","children","name","other","something","stuff","timestamp","uuid","_start","_end","_type"
"53",":Person","1963","","Helen Hunt","","","","","3424cea3-6e24-483c-9148-c680679a765f",,,
"54",":Person","1963","","Greg Kinnear","","","","","4c5aad73-857f-4978-b87e-4c4b04ac333e",,,
"55",":Person","1940","","James L. Brooks","","","","","ecf53dc8-d222-4f94-b6b5-ea362b521ac3",,,
"57",":Person","1960","","Annabella Sciorra","","","","","84a71690-6ded-42c4-86fb-a4c56a59aeb5",,,
"58",":Person","1929","","Max von Sydow","","","","","1283cfb5-0f8b-478c-b002-8583d11a1859",,,
"59",":Person","1942","","Werner Herzog","","","","","d4e4f467-672b-4886-91aa-c1273be0b83b",,,
"60",":Person","1951","","Robin Williams","","","","","8d1fa28c-dc8e-49eb-894d-eaf5454cd064",,,
"61",":Person","1956","","Vincent Ward","","","","","466d0470-525e-47e7-88b5-f9af4910e565",,,
"63",":Person","1970","","Ethan Hawke","","","","","08493e11-e546-407e-85d4-b0dd2b59c661",,,
"64",":Person","1971","","Rick Yune","","","","","98d54d7c-eb77-4eb4-a36e-ade311bfce52",,,
"65",":Person","1940","","James Cromwell","","","","","81d5ed2e-4916-48c7-89a7-16b558a97cc4",,,
"66",":Person","1953","","Scott Hicks","","","","","17492623-eb91-446f-aa9e-d5f0612a38cf",,,
"68",":Person","1968","","Parker Posey","","","","","e72cf31c-0058-486c-97f9-2cf578653375",,,
"69",":Person","1973","","Dave Chappelle","","","","","ddd9e767-b89c-498f-98d4-abc3aeda646e",,,
"70",":Person","1967","","Steve Zahn","","","","","fe12758a-8cd6-44a5-b994-fb6687505194",,,
"71",":Person","1956","","Tom Hanks","","","","","aebf78da-1151-440a-b0a9-c9bb064e8500",,,
"72",":Person","1941","","Nora Ephron","","","","","32310d35-5a40-49d7-a40c-41714eb980d5",,,
"74",":Person","1956","","Rita Wilson","","","","","1f9d7d5a-d9d1-4ecb-859a-0359f8db85e2",,,
"75",":Person","1953","","Bill Pullman","","","","","df36ff1b-08de-4079-96fc-872acca5842d",,,
"76",":Person","1949","","Victor Garber","","","","","25ec2220-86d8-46cc-9241-398f6f7be8be",,,
"77",":Person","1962","","Rosie O'Donnell","","","","","1f496db6-f0f1-4bf3-9fd5-c09c5ad75b79",,,
"79",":Person","1950","","John Patrick Stanley","","","","","fe44869f-5ace-4713-9256-6d5cd6b56ca6",,,
"80",":Person","1956","","Nathan Lane","","","","","351c8906-1ffb-4e4b-96f1-bee7b9806fa7",,,
"82",":Person","1948","","Billy Crystal","","","","","33d34466-5934-4715-a315-420b68e9d1de",,,
"83",":Person","1956","","Carrie Fisher","","","","","2ea97517-1e1f-4ae9-bcc3-cfdfdb68343e",,,
"84",":Person","1949","","Bruno Kirby","","","","","46d07c13-ef44-4af3-abc5-d3359c9ac8ab",,,
"86",":Person","1977","","Liv Tyler","","","","","6e1ee5bf-e4b9-4f10-a558-ad1f0c5f690b",,,
"88",":Person","1970","","Brooke Langton","","","","","d2e6386b-9e0e-44af-a032-0040050ede20",,,
"89",":Person","1930","","Gene Hackman","","","","","00d72952-b03c-42b6-929b-a0e1250238d1",,,
"90",":Person","1968","","Orlando Jones","","","","","652929c2-2127-4e6f-9f54-0ab0b7b5f278",,,
"91",":Person","1950","","Howard Deutch","","","","","e9922768-a3dd-4032-8ba3-d0e76f96a27d",,,
"93",":Person","1974","","Christian Bale","","","","","e2f292b9-8dd1-46bb-a2ad-fda6aa0a1d69",,,
"94",":Person","1954","","Zach Grenier","","","","","98fa87fc-a249-41c8-b70f-f4a1f64cbe0c",,,
"96",":Person","1931","","Mike Nichols","","","","","336cae26-e540-4983-a0f5-6fcf9deb815b",,,
"98",":Person","1930","","Richard Harris","","","","","7dcfef6e-bf52-4948-9c73-656d565fb794",,,
"99",":Person","1930","","Clint Eastwood","","","","","5bf1ef9f-893f-4972-9f51-b216437388c9",,,
"101",":Person","1947","","Takeshi Kitano","","","","","67e2b11a-0ce4-4f89-b4e3-79351baba69a",,,
"102",":Person","1968","","Dina Meyer","","","","","926827b5-386d-410b-9740-6644573c4da0",,,
"103",":Person","1958","","Ice-T","","","","","367ae1ed-f1f3-47af-b854-dd9a2ade74aa",,,
"104",":Person","1953","","Robert Longo","","","","","863fc16d-9a07-4c96-a0a9-fca692e39072",,,
"106",":Person","1966","","Halle Berry","","","","","03dcfca6-b668-4afb-8404-d0e8e7a2e818",,,
"107",":Person","1949","","Jim Broadbent","","","","","0f2128a1-76b9-4ead-83f6-0126f9f9a169",,,
"108",":Person","1965","","Tom Tykwer","","","","","85d8a3d5-a69a-49af-88a7-4e09e4f907ae",,,
"109",":Person","1969","","David Mitchell","","","","","53d6b262-4571-4be2-bace-d57b26aa1d5c",,,
"110",":Person","1961","","Stefan Arndt","","","","","08f4545e-08dd-48b1-8427-64cd217bb1b0",,,
"112",":Person","1939","","Ian McKellen","","","","","b100fd62-678f-480e-b5fa-5786d50bda0a",,,
"113",":Person","1976","","Audrey Tautou","","","","","7fe38295-11ce-4c85-a59d-b9326fde4def",,,
"114",":Person","1971","","Paul Bettany","","","","","512cfd31-6ead-433b-8db1-ec4922962d53",,,
"115",":Person","1954","","Ron Howard","","","","","64c2f54f-05e9-45b4-8220-5b44bf07cb82",,,
"117",":Person","1981","","Natalie Portman","","","","","b0aeeab4-6099-4dd0-84e5-0dd2e6758f39",,,
"118",":Person","1946","","Stephen Rea","","","","","1ed5e00b-598b-4cdf-ac4b-e86e1c093eec",,,
"119",":Person","1940","","John Hurt","","","","","bb74dcf5-3543-4bc5-b7e7-6c4aa574c059",,,
"120",":Person","1967","","Ben Miles","","","","","d44f912e-e88e-493c-af52-1b599eeab820",,,
"122",":Person","1985","","Emile Hirsch","","","","","d8267112-8a18-4797-aafc-8902ba498ed7",,,
"123",":Person","1960","","John Goodman","","","","","3ab7816c-de44-43c7-a5df-b13319b809bd",,,
"124",":Person","1946","","Susan Sarandon","","","","","29fe5aed-9dce-4a8e-8fc0-12126b7e9f96",,,
"125",":Person","1966","","Matthew Fox","","","","","a36055e3-95d4-4ce8-a89e-32c4d08569b5",,,
"126",":Person","1980","","Christina Ricci","","","","","6779f538-8f20-4a12-a33b-f0abeefb36f9",,,
"127",":Person","1982","","Rain","","","","","b5ea9baa-92b1-40ce-9771-03e5e4a35b23",,,
"129",":Person","","","Naomie Harris","","","","","2b2890a3-7625-4d5f-804d-82786d30e40e",,,
"131",":Person","1957","","Michael Clarke Duncan","","","","","776e1f93-1a94-4d36-9e2e-5ce9651df5d2",,,
"132",":Person","1953","","David Morse","","","","","2ccd55b0-53fe-41de-bdee-529b91814134",,,
"133",":Person","1968","","Sam Rockwell","","","","","9e31b632-3393-4987-b488-4280e7a1cddb",,,
"134",":Person","1955","","Gary Sinise","","","","","0adee2ad-1756-46a1-9819-365b55e36f78",,,
"135",":Person","1959","","Patricia Clarkson","","","","","be2ffc0a-57ce-44b2-aa85-0df9e7cf69af",,,
"136",":Person","1959","","Frank Darabont","","","","","9da8999f-ad12-422e-8be3-550ca912e7c2",,,
"138",":Person","1938","","Frank Langella","","","","","da5fe576-ad6f-419d-a5e6-d5ac21e13fdf",,,
"139",":Person","1969","","Michael Sheen","","","","","f2538b90-0754-45f9-a695-4ae4b87c539f",,,
"140",":Person","1960","","Oliver Platt","","","","","fad352df-2f94-4d9b-98fc-62c644ec2143",,,
"142",":Person","1944","","Danny DeVito","","","","","729ac3a5-32e2-4e35-a5c0-e9e36e66461a",,,
"143",":Person","1965","","John C. Reilly","","","","","df2143fb-9bf4-4fbe-8102-d91b1ffe41fe",,,
"145",":Person","1950","","Ed Harris","","","","","7ccfa4c5-1e89-4b07-9049-03a1d7e15598",,,
"146",":Person","1955","","Bill Paxton","","","","","735c10ab-52ea-4608-bf23-0df2bbaf7f71",,,
"148",":Person","1967","","Philip Seymour Hoffman","","","","","e4cf3d9d-1b72-42e3-9261-259784c029ae",,,
"149",":Person","1943","","Jan de Bont","","","","","2a1b910a-d615-453c-a2b6-06a53d83790e",,,
"151",":Person","1951","","Robert Zemeckis","","","","","9a11c772-fdf0-4dfb-a4d0-e66d3d243dd2",,,
"153",":Person","1932","","Milos Forman","","","","","673c2a8d-77de-4a92-9d4f-aef65cfa3cf6",,,
"155",":Person","1946","","Diane Keaton","","","","","b6ded084-61b3-4cd3-aebb-6b0663ed4529",,,
"156",":Person","1949","","Nancy Meyers","","","","","a21b85aa-818a-4de5-920d-f43bf62d8be3",,,
"158",":Person","1958","","Chris Columbus","","","","","3ed39e4d-18c9-4f1d-adc4-9ab2c5868479",,,
"160",":Person","1967","","Julia Roberts","","","","","62248a23-8d95-43cd-9b0b-a9660dddd525",,,
"163",":Person","1954","","Madonna","","","","","89cb5ce8-6c00-4923-8486-066075e48efa",,,
"164",":Person","1956","","Geena Davis","","","","","a99ca0e7-5695-475c-8c7e-5b58818427b1",,,
"165",":Person","1963","","Lori Petty","","","","","e5070332-4fad-4961-8f13-0310dd766acb",,,
"166",":Person","1943","","Penny Marshall","","","","","ba382646-1cf4-426d-ae2f-7fbb96b4e2be",,,
"167",":Person","","","Paul Blythe","","","","","2464bc4c-edcc-473f-b577-c5a4d96c72a5",,,
"168",":Person","","","Angela Scope","","","","","1e9b7724-24bc-43c9-bba2-eab6e0b4d053",,,
"169",":Person","","","Jessica Thompson","","","","","3dfbc79f-996d-4f06-9dc0-03c6fad7741f",,,
"170",":Person","","","James Thompson","","","","","ee260462-3bbd-45e6-8cfc-b0d0194d0450",,,
