_id|_labels|born|children|fingerprint|id|import|myId|myProp|name|other|prop|released|something|stuff|tagline|time|timestamp|title|uuid|_start|_end|_type|rating|roles|summary
17|:Person|1937|||||||Jack Nicholson||||||||||693f9dfa-72c5-40bd-8a3b-0cf1fdc00621||||||
18|:Person|1962|||||||Demi Moore||||||||||13567fbd-c26e-4a5c-b310-9c64aa849e03||||||
19|:Person|1958|||||||Kevin Bacon||||||||||82c1532b-c047-448a-be32-6b0f8dca23f1||||||
20|:Person|1966|||||||Kiefer Sutherland||||||||||1fc6993c-60e4-4602-bcdb-b2091561b335||||||
21|:Person|1971|||||||Noah Wyle||||||||||cd740533-85d3-49a3-8fdd-fb37e7d02071||||||
22|:Person|1968|||||||Cuba Gooding Jr.||||||||||b4b2e6f5-6fe2-433d-a562-b5bfbb4fe64c||||||
23|:Person|1957|||||||Kevin Pollak||||||||||c10fd8df-47c7-4a46-8406-30f1f506f11d||||||
24|:Person|1943|||||||J.T. Walsh||||||||||0c111512-e646-44b4-9b8d-1d29a85fa716||||||
25|:Person|1967|||||||James Marshall||||||||||2157ccc5-64f2-4d3b-a079-597ec714a4a0||||||
26|:Person|1948|||||||Christopher Guest||||||||||e47f4ee1-4586-4a6a-b528-f9d48b4651b1||||||
27|:Person|1947|||||||Rob Reiner||||||||||0d057be0-d7ba-4058-99a5-4f92d030c540||||||
28|:Person|1961|||||||Aaron Sorkin||||||||||184dc0e8-a636-4e49-8237-88c34df5a4ab||||||
29|:Movie|||||||||||1986|||I feel the need, the need for speed.|||Top Gun|||||||
30|:Person|1957|||||||Kelly McGillis||||||||||3533a74e-402c-413e-ad3b-e9327898cdc2||||||
31|:Person|1959|||||||Val Kilmer||||||||||394cc7df-6d7e-4d8c-98dc-80f9b6db8c50||||||
32|:Person|1962|||||||Anthony Edwards||||||||||df6af617-00a7-489f-b267-1653ecfd1fb8||||||
33|:Person|1933|||||||Tom Skerritt||||||||||8c6e868c-5eda-4ff3-9d5a-8cec860a8407||||||
34|:Person|1961|||||||Meg Ryan||||||||||6661352e-eb55-4110-b7d4-04ea9343d9ec||||||
35|:Person|1944|||||||Tony Scott||||||||||486fec63-d1b9-467c-bd6f-b27d00030319||||||
36|:Person|1941|||||||Jim Cash||||||||||b84840f8-0421-4c29-a489-761c2e761896||||||
37|:Movie|||||||||||2000|||The rest of his life begins now.|||Jerry Maguire|||||||
38|:Person|1969|||||||Renee Zellweger||||||||||4b8a07df-44a7-457f-9f5b-617f56897a39||||||
39|:Person|1962|||||||Kelly Preston||||||||||c487aa0d-e418-4e93-91cf-9d429088cb58||||||
40|:Person|1974|||||||Jerry O'Connell||||||||||b0a3cc3e-6283-4cb2-939e-c4d83f66324d||||||
41|:Person|1970|||||||Jay Mohr||||||||||99c00b1c-4edc-4035-8e90-cf3cd6b1e867||||||
42|:Person|1961|||||||Bonnie Hunt||||||||||7ccd626b-6de7-4ebb-ab88-0f12ecbf9a17||||||
43|:Person|1971|||||||Regina King||||||||||f0224c6e-048d-4bc7-8636-51eb9739ad92||||||
44|:Person|1996|||||||Jonathan Lipnicki||||||||||ce78e7e0-ab55-4df0-8780-1bc73b9a6377||||||
45|:Person|1957|||||||Cameron Crowe||||||||||3d98ccab-1a06-4295-b0ec-83591e553c86||||||
46|:Movie|||||||||||1986|||For some, it's the last real taste of innocence, and the first real taste of life. But for everyone, it's the time that memories are made of.|||Stand By Me|||||||
47|:Person|1970|||||||River Phoenix||||||||||3d8f221a-ebb0-4b4e-8900-6be319a7e55f||||||
48|:Person|1971|||||||Corey Feldman||||||||||6f1e44e2-a006-4472-a1b3-34d8cfc91c2a||||||
49|:Person|1972|||||||Wil Wheaton||||||||||f8e9ddf2-3b2f-4fe9-80a8-5917a5c18078||||||
50|:Person|1966|||||||John Cusack||||||||||fc80428f-9035-4712-af66-6f9f995babb4||||||
51|:Person|1942|||||||Marshall Bell||||||||||d2727806-a36c-4ab4-b7b7-02b30c851c8f||||||
52|:Movie|||||||||||1997|||A comedy from the heart that goes for the throat.|||As Good as It Gets|||||||
53|:Person|1963|||||||Helen Hunt||||||||||3424cea3-6e24-483c-9148-c680679a765f||||||
54|:Person|1963|||||||Greg Kinnear||||||||||4c5aad73-857f-4978-b87e-4c4b04ac333e||||||
55|:Person|1940|||||||James L. Brooks||||||||||ecf53dc8-d222-4f94-b6b5-ea362b521ac3||||||
56|:Movie|||||||||||1998|||After life there is more. The end is just the beginning.|||What Dreams May Come|||||||
57|:Person|1960|||||||Annabella Sciorra||||||||||84a71690-6ded-42c4-86fb-a4c56a59aeb5||||||
58|:Person|1929|||||||Max von Sydow||||||||||1283cfb5-0f8b-478c-b002-8583d11a1859||||||
59|:Person|1942|||||||Werner Herzog||||||||||d4e4f467-672b-4886-91aa-c1273be0b83b||||||
60|:Person|1951|||||||Robin Williams||||||||||8d1fa28c-dc8e-49eb-894d-eaf5454cd064||||||
61|:Person|1956|||||||Vincent Ward||||||||||466d0470-525e-47e7-88b5-f9af4910e565||||||
62|:Movie|||||||||||1999|||First loves last. Forever.|||Snow Falling on Cedars|||||||
63|:Person|1970|||||||Ethan Hawke||||||||||08493e11-e546-407e-85d4-b0dd2b59c661||||||
64|:Person|1971|||||||Rick Yune||||||||||98d54d7c-eb77-4eb4-a36e-ade311bfce52||||||
65|:Person|1940|||||||James Cromwell||||||||||81d5ed2e-4916-48c7-89a7-16b558a97cc4||||||
66|:Person|1953|||||||Scott Hicks||||||||||17492623-eb91-446f-aa9e-d5f0612a38cf||||||
67|:Movie|||||||||||1998|||At odds in life... in love on-line.|||You've Got Mail|||||||
68|:Person|1968|||||||Parker Posey||||||||||e72cf31c-0058-486c-97f9-2cf578653375||||||
69|:Person|1973|||||||Dave Chappelle||||||||||ddd9e767-b89c-498f-98d4-abc3aeda646e||||||
70|:Person|1967|||||||Steve Zahn||||||||||fe12758a-8cd6-44a5-b994-fb6687505194||||||
71|:Person|1956|||||||Tom Hanks||||||||||aebf78da-1151-440a-b0a9-c9bb064e8500||||||
72|:Person|1941|||||||Nora Ephron||||||||||32310d35-5a40-49d7-a40c-41714eb980d5||||||
73|:Movie|||||||||||1993|||What if someone you never met, someone you never saw, someone you never knew was the only someone for you?|||Sleepless in Seattle|||||||
74|:Person|1956|||||||Rita Wilson||||||||||1f9d7d5a-d9d1-4ecb-859a-0359f8db85e2||||||
75|:Person|1953|||||||Bill Pullman||||||||||df36ff1b-08de-4079-96fc-872acca5842d||||||
76|:Person|1949|||||||Victor Garber||||||||||25ec2220-86d8-46cc-9241-398f6f7be8be||||||
77|:Person|1962|||||||Rosie O'Donnell||||||||||1f496db6-f0f1-4bf3-9fd5-c09c5ad75b79||||||
78|:Movie|||||||||||1990|||A story of love, lava and burning desire.|||Joe Versus the Volcano|||||||
79|:Person|1950|||||||John Patrick Stanley||||||||||fe44869f-5ace-4713-9256-6d5cd6b56ca6||||||
80|:Person|1956|||||||Nathan Lane||||||||||351c8906-1ffb-4e4b-96f1-bee7b9806fa7||||||
81|:Movie|||||||||||1998|||Can two friends sleep together and still love each other in the morning?|||When Harry Met Sally|||||||
82|:Person|1948|||||||Billy Crystal||||||||||33d34466-5934-4715-a315-420b68e9d1de||||||
83|:Person|1956|||||||Carrie Fisher||||||||||2ea97517-1e1f-4ae9-bcc3-cfdfdb68343e||||||
84|:Person|1949|||||||Bruno Kirby||||||||||46d07c13-ef44-4af3-abc5-d3359c9ac8ab||||||
85|:Movie|||||||||||1996|||In every life there comes a time when that thing you dream becomes that thing you do|||That Thing You Do|||||||
86|:Person|1977|||||||Liv Tyler||||||||||6e1ee5bf-e4b9-4f10-a558-ad1f0c5f690b||||||
87|:Movie|||||||||||2000|||Pain heals, Chicks dig scars... Glory lasts forever|||The Replacements|||||||
88|:Person|1970|||||||Brooke Langton||||||||||d2e6386b-9e0e-44af-a032-0040050ede20||||||
89|:Person|1930|||||||Gene Hackman||||||||||00d72952-b03c-42b6-929b-a0e1250238d1||||||
90|:Person|1968|||||||Orlando Jones||||||||||652929c2-2127-4e6f-9f54-0ab0b7b5f278||||||
91|:Person|1950|||||||Howard Deutch||||||||||e9922768-a3dd-4032-8ba3-d0e76f96a27d||||||
92|:Movie|||||||||||2006|||Based on the extraordinary true story of one man's fight for freedom|||RescueDawn|||||||
93|:Person|1974|||||||Christian Bale||||||||||e2f292b9-8dd1-46bb-a2ad-fda6aa0a1d69||||||
94|:Person|1954|||||||Zach Grenier||||||||||98fa87fc-a249-41c8-b70f-f4a1f64cbe0c||||||
95|:Movie|||||||||||1996|||Come as you are|||The Birdcage|||||||
96|:Person|1931|||||||Mike Nichols||||||||||336cae26-e540-4983-a0f5-6fcf9deb815b||||||
97|:Movie|||||||||||1992|||It's a hell of a thing, killing a man|||Unforgiven|||||||
98|:Person|1930|||||||Richard Harris||||||||||7dcfef6e-bf52-4948-9c73-656d565fb794||||||
99|:Person|1930|||||||Clint Eastwood||||||||||5bf1ef9f-893f-4972-9f51-b216437388c9||||||
100|:Movie|||||||||||1995|||The hottest data on earth. In the coolest head in town|||Johnny Mnemonic|||||||
101|:Person|1947|||||||Takeshi Kitano||||||||||67e2b11a-0ce4-4f89-b4e3-79351baba69a||||||
102|:Person|1968|||||||Dina Meyer||||||||||926827b5-386d-410b-9740-6644573c4da0||||||
103|:Person|1958|||||||Ice-T||||||||||367ae1ed-f1f3-47af-b854-dd9a2ade74aa||||||
104|:Person|1953|||||||Robert Longo||||||||||863fc16d-9a07-4c96-a0a9-fca692e39072||||||
105|:Movie|||||||||||2012|||Everything is connected|||Cloud Atlas|||||||
106|:Person|1966|||||||Halle Berry||||||||||03dcfca6-b668-4afb-8404-d0e8e7a2e818||||||
107|:Person|1949|||||||Jim Broadbent||||||||||0f2128a1-76b9-4ead-83f6-0126f9f9a169||||||
108|:Person|1965|||||||Tom Tykwer||||||||||85d8a3d5-a69a-49af-88a7-4e09e4f907ae||||||
109|:Person|1969|||||||David Mitchell||||||||||53d6b262-4571-4be2-bace-d57b26aa1d5c||||||
110|:Person|1961|||||||Stefan Arndt||||||||||08f4545e-08dd-48b1-8427-64cd217bb1b0||||||
111|:Movie|||||||||||2006|||Break The Codes|||The Da Vinci Code|||||||
112|:Person|1939|||||||Ian McKellen||||||||||b100fd62-678f-480e-b5fa-5786d50bda0a||||||
113|:Person|1976|||||||Audrey Tautou||||||||||7fe38295-11ce-4c85-a59d-b9326fde4def||||||
114|:Person|1971|||||||Paul Bettany||||||||||512cfd31-6ead-433b-8db1-ec4922962d53||||||
115|:Person|1954|||||||Ron Howard||||||||||64c2f54f-05e9-45b4-8220-5b44bf07cb82||||||
116|:Movie|||||||||||2006|||Freedom! Forever!|||V for Vendetta|||||||
117|:Person|1981|||||||Natalie Portman||||||||||b0aeeab4-6099-4dd0-84e5-0dd2e6758f39||||||
118|:Person|1946|||||||Stephen Rea||||||||||1ed5e00b-598b-4cdf-ac4b-e86e1c093eec||||||
119|:Person|1940|||||||John Hurt||||||||||bb74dcf5-3543-4bc5-b7e7-6c4aa574c059||||||
120|:Person|1967|||||||Ben Miles||||||||||d44f912e-e88e-493c-af52-1b599eeab820||||||
121|:Movie|||||||||||2008|||Speed has no limits|||Speed Racer|||||||
122|:Person|1985|||||||Emile Hirsch||||||||||d8267112-8a18-4797-aafc-8902ba498ed7||||||
123|:Person|1960|||||||John Goodman||||||||||3ab7816c-de44-43c7-a5df-b13319b809bd||||||
124|:Person|1946|||||||Susan Sarandon||||||||||29fe5aed-9dce-4a8e-8fc0-12126b7e9f96||||||
125|:Person|1966|||||||Matthew Fox||||||||||a36055e3-95d4-4ce8-a89e-32c4d08569b5||||||
126|:Person|1980|||||||Christina Ricci||||||||||6779f538-8f20-4a12-a33b-f0abeefb36f9||||||
127|:Person|1982|||||||Rain||||||||||b5ea9baa-92b1-40ce-9771-03e5e4a35b23||||||
128|:Movie|||||||||||2009|||Prepare to enter a secret world of assassins|||Ninja Assassin|||||||
129|:Person||||||||Naomie Harris||||||||||2b2890a3-7625-4d5f-804d-82786d30e40e||||||
130|:Movie|||||||||||1999|||Walk a mile you'll never forget.|||The Green Mile|||||||
131|:Person|1957|||||||Michael Clarke Duncan||||||||||776e1f93-1a94-4d36-9e2e-5ce9651df5d2||||||
132|:Person|1953|||||||David Morse||||||||||2ccd55b0-53fe-41de-bdee-529b91814134||||||
133|:Person|1968|||||||Sam Rockwell||||||||||9e31b632-3393-4987-b488-4280e7a1cddb||||||
134|:Person|1955|||||||Gary Sinise||||||||||0adee2ad-1756-46a1-9819-365b55e36f78||||||
135|:Person|1959|||||||Patricia Clarkson||||||||||be2ffc0a-57ce-44b2-aa85-0df9e7cf69af||||||
136|:Person|1959|||||||Frank Darabont||||||||||9da8999f-ad12-422e-8be3-550ca912e7c2||||||
137|:Movie|||||||||||2008|||400 million people were waiting for the truth.|||Frost/Nixon|||||||
138|:Person|1938|||||||Frank Langella||||||||||da5fe576-ad6f-419d-a5e6-d5ac21e13fdf||||||
139|:Person|1969|||||||Michael Sheen||||||||||f2538b90-0754-45f9-a695-4ae4b87c539f||||||
140|:Person|1960|||||||Oliver Platt||||||||||fad352df-2f94-4d9b-98fc-62c644ec2143||||||
141|:Movie|||||||||||1992|||He didn't want law. He wanted justice.|||Hoffa|||||||
142|:Person|1944|||||||Danny DeVito||||||||||729ac3a5-32e2-4e35-a5c0-e9e36e66461a||||||
143|:Person|1965|||||||John C. Reilly||||||||||df2143fb-9bf4-4fbe-8102-d91b1ffe41fe||||||
144|:Movie|||||||||||1995|||Houston, we have a problem.|||Apollo 13|||||||
145|:Person|1950|||||||Ed Harris||||||||||7ccfa4c5-1e89-4b07-9049-03a1d7e15598||||||
146|:Person|1955|||||||Bill Paxton||||||||||735c10ab-52ea-4608-bf23-0df2bbaf7f71||||||
147|:Movie|||||||||||1996|||Don't Breathe. Don't Look Back.|||Twister|||||||
148|:Person|1967|||||||Philip Seymour Hoffman||||||||||e4cf3d9d-1b72-42e3-9261-259784c029ae||||||
149|:Person|1943|||||||Jan de Bont||||||||||2a1b910a-d615-453c-a2b6-06a53d83790e||||||
150|:Movie|||||||||||2000|||At the edge of the world, his journey begins.|||Cast Away|||||||
151|:Person|1951|||||||Robert Zemeckis||||||||||9a11c772-fdf0-4dfb-a4d0-e66d3d243dd2||||||
152|:Movie|||||||||||1975|||If he's crazy, what does that make you?|||One Flew Over the Cuckoo's Nest|||||||
153|:Person|1932|||||||Milos Forman||||||||||673c2a8d-77de-4a92-9d4f-aef65cfa3cf6||||||
154|:Movie|||||||||||2003||||||Something's Gotta Give|||||||
155|:Person|1946|||||||Diane Keaton||||||||||b6ded084-61b3-4cd3-aebb-6b0663ed4529||||||
156|:Person|1949|||||||Nancy Meyers||||||||||a21b85aa-818a-4de5-920d-f43bf62d8be3||||||
157|:Movie|||||||||||1999|||One robot's 200 year journey to become an ordinary man.|||Bicentennial Man|||||||
158|:Person|1958|||||||Chris Columbus||||||||||3ed39e4d-18c9-4f1d-adc4-9ab2c5868479||||||
159|:Movie|||||||||||2007|||A stiff drink. A little mascara. A lot of nerve. Who said they couldn't bring down the Soviet empire.|||Charlie Wilson's War|||||||
160|:Person|1967|||||||Julia Roberts||||||||||62248a23-8d95-43cd-9b0b-a9660dddd525||||||
161|:Movie|||||||||||2004|||This Holiday Season... Believe|||The Polar Express|||||||
162|:Movie|||||||||||1992|||Once in a lifetime you get a chance to do something different.|||A League of Their Own|||||||
163|:Person|1954|||||||Madonna||||||||||89cb5ce8-6c00-4923-8486-066075e48efa||||||
164|:Person|1956|||||||Geena Davis||||||||||a99ca0e7-5695-475c-8c7e-5b58818427b1||||||
165|:Person|1963|||||||Lori Petty||||||||||e5070332-4fad-4961-8f13-0310dd766acb||||||
166|:Person|1943|||||||Penny Marshall||||||||||ba382646-1cf4-426d-ae2f-7fbb96b4e2be||||||
167|:Person||||||||Paul Blythe||||||||||2464bc4c-edcc-473f-b577-c5a4d96c72a5||||||
168|:Person||||||||Angela Scope||||||||||1e9b7724-24bc-43c9-bba2-eab6e0b4d053||||||
169|:Person||||||||Jessica Thompson||||||||||3dfbc79f-996d-4f06-9dc0-03c6fad7741f||||||
170|:Person||||||||James Thompson||||||||||ee260462-3bbd-45e6-8cfc-b0d0194d0450||||||
171|:Movie||||||||The movie about Keanu Reeves||||||||||||||||
172|:NotKeanu||||||||Carrie-Anne Moss||||||||||||||||
173|:NotKeanu||||||||Laurence Fishburne||||||||||||||||
174|:NotKeanu||||||||Hugo Weaving||||||||||||||||
175|:NotKeanu||||||||Lilly Wachowski||||||||||||||||
176|:NotKeanu||||||||Lana Wachowski||||||||||||||||
177|:NotKeanu||||||||Joel Silver||||||||||||||||
178|:NotKeanu||||||||Emil Eifrem||||||||||||||||
179|:NotKeanu||||||||Charlize Theron||||||||||||||||
180|:NotKeanu||||||||Al Pacino||||||||||||||||
181|:NotKeanu||||||||Taylor Hackford||||||||||||||||
182|:NotKeanu||||||||Tom Cruise||||||||||||||||
183|:NotKeanu||||||||Jack Nicholson||||||||||||||||
184|:NotKeanu||||||||Demi Moore||||||||||||||||
185|:NotKeanu||||||||Kevin Bacon||||||||||||||||
186|:NotKeanu||||||||Kiefer Sutherland||||||||||||||||
187|:NotKeanu||||||||Noah Wyle||||||||||||||||
188|:NotKeanu||||||||Cuba Gooding Jr.||||||||||||||||
189|:NotKeanu||||||||Kevin Pollak||||||||||||||||
190|:NotKeanu||||||||J.T. Walsh||||||||||||||||
191|:NotKeanu||||||||James Marshall||||||||||||||||
192|:NotKeanu||||||||Christopher Guest||||||||||||||||
193|:NotKeanu||||||||Rob Reiner||||||||||||||||
194|:NotKeanu||||||||Aaron Sorkin||||||||||||||||
195|:NotKeanu||||||||Kelly McGillis||||||||||||||||
196|:NotKeanu||||||||Val Kilmer||||||||||||||||
197|:NotKeanu||||||||Anthony Edwards||||||||||||||||
198|:NotKeanu||||||||Tom Skerritt||||||||||||||||
199|:NotKeanu||||||||Meg Ryan||||||||||||||||
200|:NotKeanu||||||||Tony Scott||||||||||||||||
201|:NotKeanu||||||||Jim Cash||||||||||||||||
202|:NotKeanu||||||||Renee Zellweger||||||||||||||||
203|:NotKeanu||||||||Kelly Preston||||||||||||||||
204|:NotKeanu||||||||Jerry O'Connell||||||||||||||||
205|:NotKeanu||||||||Jay Mohr||||||||||||||||
206|:NotKeanu||||||||Bonnie Hunt||||||||||||||||
207|:NotKeanu||||||||Regina King||||||||||||||||
208|:NotKeanu||||||||Jonathan Lipnicki||||||||||||||||
209|:NotKeanu||||||||Cameron Crowe||||||||||||||||
210|:NotKeanu||||||||River Phoenix||||||||||||||||
211|:NotKeanu||||||||Corey Feldman||||||||||||||||
212|:NotKeanu||||||||Wil Wheaton||||||||||||||||
213|:NotKeanu||||||||John Cusack||||||||||||||||
214|:NotKeanu||||||||Marshall Bell||||||||||||||||
215|:NotKeanu||||||||Helen Hunt||||||||||||||||
216|:NotKeanu||||||||Greg Kinnear||||||||||||||||
217|:NotKeanu||||||||James L. Brooks||||||||||||||||
218|:NotKeanu||||||||Annabella Sciorra||||||||||||||||
219|:NotKeanu||||||||Max von Sydow||||||||||||||||
220|:NotKeanu||||||||Werner Herzog||||||||||||||||
221|:NotKeanu||||||||Robin Williams||||||||||||||||
222|:NotKeanu||||||||Vincent Ward||||||||||||||||
223|:NotKeanu||||||||Ethan Hawke||||||||||||||||
224|:NotKeanu||||||||Rick Yune||||||||||||||||
225|:NotKeanu||||||||James Cromwell||||||||||||||||
226|:NotKeanu||||||||Scott Hicks||||||||||||||||
227|:NotKeanu||||||||Parker Posey||||||||||||||||
228|:NotKeanu||||||||Dave Chappelle||||||||||||||||
229|:NotKeanu||||||||Steve Zahn||||||||||||||||
230|:NotKeanu||||||||Tom Hanks||||||||||||||||
231|:NotKeanu||||||||Nora Ephron||||||||||||||||
232|:NotKeanu||||||||Rita Wilson||||||||||||||||
233|:NotKeanu||||||||Bill Pullman||||||||||||||||
234|:NotKeanu||||||||Victor Garber||||||||||||||||
235|:NotKeanu||||||||Rosie O'Donnell||||||||||||||||
236|:NotKeanu||||||||John Patrick Stanley||||||||||||||||
237|:NotKeanu||||||||Nathan Lane||||||||||||||||
238|:NotKeanu||||||||Billy Crystal||||||||||||||||
239|:NotKeanu||||||||Carrie Fisher||||||||||||||||
240|:NotKeanu||||||||Bruno Kirby||||||||||||||||
241|:NotKeanu||||||||Liv Tyler||||||||||||||||
242|:NotKeanu||||||||Brooke Langton||||||||||||||||
243|:NotKeanu||||||||Gene Hackman||||||||||||||||
244|:NotKeanu||||||||Orlando Jones||||||||||||||||
245|:NotKeanu||||||||Howard Deutch||||||||||||||||
246|:NotKeanu||||||||Christian Bale||||||||||||||||
247|:NotKeanu||||||||Zach Grenier||||||||||||||||
248|:NotKeanu||||||||Mike Nichols||||||||||||||||
249|:NotKeanu||||||||Richard Harris||||||||||||||||
250|:NotKeanu||||||||Clint Eastwood||||||||||||||||
251|:NotKeanu||||||||Takeshi Kitano||||||||||||||||
252|:NotKeanu||||||||Dina Meyer||||||||||||||||
253|:NotKeanu||||||||Ice-T||||||||||||||||
254|:NotKeanu||||||||Robert Longo||||||||||||||||
255|:NotKeanu||||||||Halle Berry||||||||||||||||
256|:NotKeanu||||||||Jim Broadbent||||||||||||||||
257|:NotKeanu||||||||Tom Tykwer||||||||||||||||
258|:NotKeanu||||||||David Mitchell||||||||||||||||
259|:NotKeanu||||||||Stefan Arndt||||||||||||||||
260|:NotKeanu||||||||Ian McKellen||||||||||||||||
261|:NotKeanu||||||||Audrey Tautou||||||||||||||||
262|:NotKeanu||||||||Paul Bettany||||||||||||||||
263|:NotKeanu||||||||Ron Howard||||||||||||||||
264|:NotKeanu||||||||Natalie Portman||||||||||||||||
265|:NotKeanu||||||||Stephen Rea||||||||||||||||
266|:NotKeanu||||||||John Hurt||||||||||||||||
267|:NotKeanu||||||||Ben Miles||||||||||||||||
268|:NotKeanu||||||||Emile Hirsch||||||||||||||||
269|:NotKeanu||||||||John Goodman||||||||||||||||
270|:NotKeanu||||||||Susan Sarandon||||||||||||||||
271|:NotKeanu||||||||Matthew Fox||||||||||||||||
272|:NotKeanu||||||||Christina Ricci||||||||||||||||
273|:NotKeanu||||||||Rain||||||||||||||||
274|:NotKeanu||||||||Naomie Harris||||||||||||||||
275|:NotKeanu||||||||Michael Clarke Duncan||||||||||||||||
276|:NotKeanu||||||||David Morse||||||||||||||||
277|:NotKeanu||||||||Sam Rockwell||||||||||||||||
278|:NotKeanu||||||||Gary Sinise||||||||||||||||
279|:NotKeanu||||||||Patricia Clarkson||||||||||||||||
280|:NotKeanu||||||||Frank Darabont||||||||||||||||
281|:NotKeanu||||||||Frank Langella||||||||||||||||
282|:NotKeanu||||||||Michael Sheen||||||||||||||||
283|:NotKeanu||||||||Oliver Platt||||||||||||||||
284|:NotKeanu||||||||Danny DeVito||||||||||||||||
285|:NotKeanu||||||||John C. Reilly||||||||||||||||
286|:NotKeanu||||||||Ed Harris||||||||||||||||
287|:NotKeanu||||||||Bill Paxton||||||||||||||||
288|:NotKeanu||||||||Philip Seymour Hoffman||||||||||||||||
289|:NotKeanu||||||||Jan de Bont||||||||||||||||
290|:NotKeanu||||||||Robert Zemeckis||||||||||||||||
291|:NotKeanu||||||||Milos Forman||||||||||||||||
292|:NotKeanu||||||||Diane Keaton||||||||||||||||
293|:NotKeanu||||||||Nancy Meyers||||||||||||||||
294|:NotKeanu||||||||Chris Columbus||||||||||||||||
295|:NotKeanu||||||||Julia Roberts||||||||||||||||
296|:NotKeanu||||||||Madonna||||||||||||||||
297|:NotKeanu||||||||Geena Davis||||||||||||||||
298|:NotKeanu||||||||Lori Petty||||||||||||||||
299|:NotKeanu||||||||Penny Marshall||||||||||||||||
300|:NotKeanu||||||||Paul Blythe||||||||||||||||
301|:NotKeanu||||||||Angela Scope||||||||||||||||
302|:NotKeanu||||||||Jessica Thompson||||||||||||||||
303|:NotKeanu||||||||James Thompson||||||||||||||||
304|:Start|||||||1|||||||||||||||||
305|:Start|||||||2|||||||||||||||||
306|:Start|||||||3|||||||||||||||||
307|:Start|||||||4|||||||||||||||||
308|:Start|||||||5|||||||||||||||||
309|:Start|||||||6|||||||||||||||||
310|:Start|||||||7|||||||||||||||||
311|:Start|||||||8|||||||||||||||||
312|:Start|||||||9|||||||||||||||||
313|:Start|||||||10|||||||||||||||||
314|:Start|||||||11|||||||||||||||||
315|:Start|||||||12|||||||||||||||||
316|:Start|||||||13|||||||||||||||||
317|:Start|||||||14|||||||||||||||||
318|:Start|||||||15|||||||||||||||||
319|:Start|||||||16|||||||||||||||||
320|:Start|||||||17|||||||||||||||||
321|:Start|||||||18|||||||||||||||||
322|:Start|||||||19|||||||||||||||||
323|:Start|||||||20|||||||||||||||||
324|:Start|||||||21|||||||||||||||||
325|:Start|||||||22|||||||||||||||||
326|:Start|||||||23|||||||||||||||||
327|:Start|||||||24|||||||||||||||||
328|:Start|||||||25|||||||||||||||||
329|:Start|||||||26|||||||||||||||||
330|:Start|||||||27|||||||||||||||||
331|:Start|||||||28|||||||||||||||||
332|:Start|||||||29|||||||||||||||||
333|:Start|||||||30|||||||||||||||||
334|:Start|||||||31|||||||||||||||||
335|:Start|||||||32|||||||||||||||||
336|:Start|||||||33|||||||||||||||||
337|:Start|||||||34|||||||||||||||||
338|:Start|||||||35|||||||||||||||||
339|:Start|||||||36|||||||||||||||||
340|:Start|||||||37|||||||||||||||||
341|:Start|||||||38|||||||||||||||||
342|:Start|||||||39|||||||||||||||||
343|:Start|||||||40|||||||||||||||||
344|:Start|||||||41|||||||||||||||||
345|:Start|||||||42|||||||||||||||||
346|:Start|||||||43|||||||||||||||||
